buyer_key,buyer_name,n_live_contracts,expected_renewals_12m,expected_renewals_24m,max_p12,high_risk_contracts
NAME:semitan,SEMITAN,16,0.4139167365058862,0.7257393755392003,0.0352148047844936,0
SIREN:225300011,DEPARTEMENT DE LA MAYENNE,12,0.4006986227312397,0.6982042369572683,0.0446957316375762,0
SIREN:110006012,Ministère des Affaires étrangères,12,0.3870240431910433,0.6748516322405474,0.0446491450366183,0
SIREN:225300011,Conseil Départemental de la Mayenne,7,0.34130611951119477,0.5884056120489467,0.0487700726335769,0
SIRET:24440040400129,Nantes Métropole,8,0.3316527130813038,0.5746447393496354,0.047678457084533,0
SIREN:214401846,COMMUNE DE SAINT NAZAIRE,11,0.32856499728671074,0.5740472696054061,0.0387624548161398,0
SIREN:224900019,Département de Maine-et-Loire,11,0.32316797887045257,0.5645927008128743,0.0407600321378764,0
SIREN:214401622,Commune de Saint-Herblain,11,0.3084909216688434,0.5397735007276288,0.0368712193711339,0
SIRET:24440040400129,Nantes metropole,7,0.3083055196861351,0.5332694999155567,0.047678457084533,0
SIREN:180043010,Réseau Canopé,8,0.2947025676459699,0.5123269428552226,0.0481795120956757,0
NAME:conseil general vendee,Conseil général de la Vendée,14,0.2881491563229897,0.5074014404105589,0.0300179979828558,0
SIREN:214401846,VILLE DE SAINT NAZAIRE,7,0.285531245641056,0.49496617753508826,0.0487700726335769,0
SIREN:288500010,SDIS 85,10,0.2769107735778106,0.4846525060389731,0.039408211352946,0
NAME:gpm nantes st nazaire,GPM de Nantes - St Nazaire,16,0.2551217786900763,0.4509634208510383,0.0215021371916137,0
SIREN:214401093,Ville de Nantes,9,0.2485026567802971,0.4350383366234241,0.0392012090020936,0
SIREN:214401093,COMMUNE DE NANTES,9,0.2292384565608243,0.4018600579953352,0.0387773662783703,0
SIREN:524795564,CARENE,8,0.222633804393653,0.3895381287916931,0.0357083232222366,0
SIREN:214400202,Ville de Bouguenais,6,0.2195240480937134,0.3819701644957586,0.0389944965131496,0
SIRET:23440003400026,Région des Pays de la Loire,5,0.214086487688751,0.3704603893612949,0.0481963752527232,0
NAME:conseil departemental loire atlanti,CONSEIL DEPARTEMENTAL DE LOIRE-ATLANTI,8,0.210314766139019,0.3686459681552919,0.0319160938770618,0
SIREN:451518641,VENDEE,6,0.20317145348981788,0.3533641466620569,0.0446957316375762,0
SIREN:381053768,La Cité des Congrès de Nantes,6,0.2021335192682376,0.3523499072037619,0.0387096090320194,0
SIREN:214400269,Ville de Carquefou,6,0.2003602028628347,0.3491776446863842,0.0407624774542402,0
NAME:arafer,ARAFER,9,0.1996839699033164,0.3513023538309778,0.0238298034936693,0
NAME:communaute agglomeration niortais,Communauté d'agglomération du Niortais,9,0.1922727493870217,0.3381528182068794,0.0318936161373568,0
NAME:agce enst fr etranger,AGCE POUR L ENST FR A L ETRANGER,8,0.1831501290568864,0.3218620412216195,0.0279268721818416,0
NAME:ademe,ADEME,8,0.17897637191589572,0.3145607350612432,0.0318599282298239,0
NAME:cd 44,CD 44,6,0.1708432881377278,0.2990730904673185,0.0319048530929331,0
SIRET:17440005100010,CHU NANTES,4,0.1641468182928332,0.28459137233608117,0.0471658286680731,0
SIREN:130001704,DIR INTERDEPARTEMENTALE ROUTES OUEST,4,0.16396400421248208,0.28414715373886007,0.0446491450366183,0
SIREN:285300018,Sdis de la Mayenne,5,0.1589350958277561,0.2774405633732405,0.0369100040796034,0
SIRET:83095506800044,Destination Angers,4,0.1579346362411892,0.274206066318015,0.041234601870573,0
SIREN:194401006,Ecole Centrale de Nantes,6,0.1573183695574646,0.2756001753601333,0.0362413054705548,0
