contract_id,buyer_key,buyer_name,SIREN,SIRET,buyer_key_type,segment,source_date,declared_duration_months,estimated_end_date,p_renewal_12m,p_renewal_24m,risk_tier,main_risk_reason,cpv_generic,cpv_div2,event,observed_duration_months,model_used
BOAMP:16-30963,SIREN:228500013,Département de la Vendée,228500013,,SIREN_ENRICHED,Cybersecurity,2016-06-09,48.0,2020-06-09,0.023426926993440622,0.04118155122754219,Low,duration imputed,False,35.0,1,51.35,LogLogisticAFT
BOAMP:16-32105,SIREN:214400269,Ville de Carquefou,214400269,,SIREN_ENRICHED,Telecom & Networks,2016-06-02,12.0,2017-06-02,0.03622859836319503,0.0630587826634248,Low,model-estimated recurrence probability,False,32.0,0,121.19,LogLogisticAFT
BOAMP:16-33283,SIREN:794304097,Nantes Métropole,794304097,,SIREN_ENRICHED,IT Services & Consulting,2016-03-10,12.0,2017-03-10,0.04458710156874224,0.07711214980347747,Low,model-estimated recurrence probability,False,72.0,1,33.28,LogLogisticAFT
BOAMP:16-33632,SIREN:794304097,Nantes Métropole,794304097,,SIREN_ENRICHED,Digital Workplace & Collaboration,2016-03-11,48.0,2020-03-11,0.02566021475734581,0.04502934382218449,Low,model-estimated recurrence probability,False,72.0,0,123.92,LogLogisticAFT
BOAMP:16-27384,NAME:mindef dga do s2a,MINDEF/DGA/DO/S2A,,,NAME,Cybersecurity,2016-03-15,48.0,2020-03-15,0.017606745685748493,0.031090844615066948,Low,model-estimated recurrence probability,False,35.0,0,123.78,LogLogisticAFT
BOAMP:16-38113,SIREN:247200132,Le Mans Métropole - Communauté Urbaine,247200132,,SIREN_ENRICHED,Digital Workplace & Collaboration,2016-12-07,48.0,2020-12-07,0.0242372501535697,0.04257921994145897,Low,duration imputed,False,72.0,0,115.01,LogLogisticAFT
BOAMP:16-40838,SIREN:200083392,Laval Agglomération,200083392,,SIREN_ENRICHED,Telecom & Networks,2016-06-16,48.0,2020-06-16,0.023021207529177024,0.04048109400027633,Low,duration imputed,False,,0,120.73,LogLogisticAFT
BOAMP:16-42023,NAME:gpm nantes st nazaire,GPM de Nantes - St Nazaire,,,NAME,Telecom & Networks,2016-03-24,48.0,2020-03-24,0.016332907674503128,0.028870109233375518,Low,duration imputed,False,32.0,0,123.49,LogLogisticAFT
BOAMP:16-42170,NAME:gpm nantes st nazaire,GPM de Nantes - St Nazaire,,,NAME,Software & Applications,2016-07-29,48.0,2020-07-29,0.012969224742835905,0.0229847821300061,Low,duration imputed,False,48.0,0,119.32,LogLogisticAFT
BOAMP:16-42996,SIREN:288500010,SDIS 85,288500010,,SIREN_ENRICHED,Unknown,2016-07-29,19.0,2018-02-28,0.03278003816673625,0.05720788431897594,Low,model-estimated recurrence probability,False,,0,119.32,LogLogisticAFT
BOAMP:16-43654,NAME:mindef dga do s2a,MINDEF/DGA/DO/S2A,,,NAME,Cybersecurity,2016-03-29,48.0,2020-03-29,0.016622759912324425,0.02937580874755019,Low,duration imputed,False,35.0,0,123.32,LogLogisticAFT
BOAMP:16-45436,NAME:hopital intercommunal sevre loire,Hopital Intercommunal Sèvre et Loire,,,NAME,Unknown,2016-09-05,48.0,2020-09-05,0.015949191219072012,0.02820029467230689,Low,duration imputed,True,45.0,0,118.07,LogLogisticAFT
BOAMP:16-45870,SIREN:244900015,Angers Loire Métropole,244900015,,SIREN_ENRICHED,IT Services & Consulting,2016-03-30,36.0,2019-03-30,0.03432164609889343,0.05982724637886416,Low,model-estimated recurrence probability,False,72.0,0,123.29,LogLogisticAFT
BOAMP:16-44890,SIREN:264400268,Centre Hospitalier de Saint-Nazaire,264400268,,SIREN_ENRICHED,Unknown,2016-03-30,12.0,2017-03-30,0.03539428200572703,0.06164610969273365,Low,model-estimated recurrence probability,False,,0,123.29,LogLogisticAFT
BOAMP:16-48130,SIREN:228500013,Département de la Vendée,228500013,,SIREN_ENRICHED,Data & AI,2017-01-09,48.0,2021-01-09,0.024245857129871706,0.042594056073104736,Low,duration imputed,False,,0,113.93,LogLogisticAFT
