contract_id,buyer_key,buyer_name,SIREN,SIRET,buyer_key_type,segment,source_date,declared_duration_months,estimated_end_date,p_renewal_12m,p_renewal_24m,risk_tier,main_risk_reason,cpv_generic,data_quality_flags,prediction_date
BOAMP:18-110102,SIREN:218500478,Commune de Challans,218500478,,SIREN_ENRICHED,Software & Applications,2018-10-23,12.0,2019-10-23,0.0289082481877198,0.0506017655448868,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:18-46804,SIREN:234400034,Conseil régional des Pays de la Loire,234400034,,SIREN_ENRICHED,Software & Applications,2018-04-05,12.0,2019-04-05,0.0289082481877198,0.0506017655448868,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:18-96470,SIREN:935367433,Conseil départemental Loire-Atlantique,935367433,,SIREN_ENRICHED,Software & Applications,2018-12-04,12.0,2019-12-04,0.0289082481877198,0.0506017655448868,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:16-146809,SIREN:268502424,C.H.D La Roche Sur Yon-Luçon-Montaigu,268502424,,SIREN_ENRICHED,Software & Applications,2017-04-18,12.0,2018-04-18,0.0288980351381866,0.0505842875778617,Low,model-estimated recurrence probability,True,,2026-07-09
BOAMP:17-100105,SIREN:214401846,Commune de Saint-Nazaire,214401846,,SIREN_ENRICHED,Software & Applications,2017-11-15,12.0,2018-11-15,0.0288980351381866,0.0505842875778617,Low,model-estimated recurrence probability,True,,2026-07-09
BOAMP:17-109941,SIREN:214401846,Commune de Saint-Nazaire,214401846,,SIREN_ENRICHED,Software & Applications,2017-11-13,12.0,2018-11-13,0.0288980351381866,0.0505842875778617,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:17-118765,SIREN:234400034,Conseil régional des Pays de la Loire,234400034,,SIREN_ENRICHED,Software & Applications,2017-12-14,12.0,2018-12-14,0.0288980351381866,0.0505842875778617,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:17-85294,SIREN:391722881,GIE SESAM Vitale,391722881,,SIREN_ENRICHED,Software & Applications,2017-06-21,12.0,2018-06-21,0.0288980351381866,0.0505842875778617,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:17-85841,SIREN:234400034,Conseil régional des Pays de la Loire,234400034,,SIREN_ENRICHED,Software & Applications,2017-10-23,12.0,2018-10-23,0.0288980351381866,0.0505842875778617,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:16-109017,SIREN:391722881,GIE SESAM Vitale,391722881,,SIREN_ENRICHED,Software & Applications,2016-07-22,12.0,2017-07-22,0.0288878255895053,0.050566815326228,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:16-26260,SIREN:214400269,Ville de Carquefou,214400269,,SIREN_ENRICHED,Software & Applications,2016-06-09,12.0,2017-06-09,0.0288878255895053,0.050566815326228,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:16-54252,SIREN:200054302,MONTREVAULT-SUR-ÈVRE,200054302,,SIREN_ENRICHED,Software & Applications,2016-04-15,12.0,2017-04-15,0.0288878255895053,0.050566815326228,Low,model-estimated recurrence probability,True,,2026-07-09
BOAMP:16-96174,SIREN:234400034,Conseil régional des Pays de la Loire,234400034,,SIREN_ENRICHED,Software & Applications,2016-10-18,12.0,2017-10-18,0.0288878255895053,0.050566815326228,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:15-150393,SIREN:794885913,Saumur Agglopropreté,794885913,,SIREN_ENRICHED,Software & Applications,2015-10-05,12.0,2016-10-05,0.0288776195405517,0.0505493487883391,Low,model-estimated recurrence probability,True,,2026-07-09
BOAMP:15-159244,SIREN:794304097,Nantes Métropole,794304097,,SIREN_ENRICHED,Software & Applications,2015-10-23,12.0,2016-10-23,0.0288776195405517,0.0505493487883391,Low,model-estimated recurrence probability,True,,2026-07-09
BOAMP:22-15926,NAME:garnache,LA GARNACHE,,,NAME,Telecom & Networks,2022-01-31,3.0,2022-04-30,0.0285607531411314,0.0500069294609102,Low,model-estimated recurrence probability,False,name_fallback_buyer_key;missing_siren_siret;,2026-07-09
BOAMP:21-122032,SIREN:794304097,Nantes Métropole,794304097,,SIREN_ENRICHED,IT Services & Consulting,2022-01-06,48.0,2026-01-06,0.028482773574922,0.0498734014687431,Low,duration imputed,True,,2026-07-09
BOAMP:20-27358,SIREN:391722881,GIE SESAM Vitale,391722881,,SIREN_ENRICHED,IT Services & Consulting,2021-01-06,48.0,2025-01-06,0.0284727064347849,0.0498561618690986,Low,duration imputed,False,,2026-07-09
BOAMP:21-113953,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,IT Services & Consulting,2021-08-20,48.0,2025-08-20,0.0284727064347849,0.0498561618690986,Low,duration imputed,False,,2026-07-09
BOAMP:21-117181,SIREN:753000611,SATT OUEST VALORISATION,753000611,,SIREN_ENRICHED,IT Services & Consulting,2021-08-31,48.0,2025-08-31,0.0284727064347849,0.0498561618690986,Low,duration imputed,False,,2026-07-09
BOAMP:21-117615,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,IT Services & Consulting,2021-09-01,48.0,2025-09-01,0.0284727064347849,0.0498561618690986,Low,duration imputed,False,,2026-07-09
BOAMP:21-156574,SIREN:227200029,DEPARTEMENT DE LA SARTHE,227200029,,SIREN_ENRICHED,IT Services & Consulting,2021-11-26,48.0,2025-11-26,0.0284727064347849,0.0498561618690986,Low,duration imputed,False,,2026-07-09
BOAMP:21-160384,SIREN:546650169,Vendée Expansion,546650169,,SIREN_ENRICHED,IT Services & Consulting,2021-12-06,48.0,2025-12-06,0.0284727064347849,0.0498561618690986,Low,duration imputed,False,,2026-07-09
BOAMP:21-51441,SIREN:379774177,CIF GIE GEIPCI,379774177,,SIREN_ENRICHED,IT Services & Consulting,2021-04-18,48.0,2025-04-18,0.0284727064347849,0.0498561618690986,Low,duration imputed,True,,2026-07-09
BOAMP:21-74412,SIREN:244900015,Angers Loire Métropole,244900015,,SIREN_ENRICHED,IT Services & Consulting,2021-06-11,48.0,2025-06-11,0.0284727064347849,0.0498561618690986,Low,duration imputed,False,,2026-07-09
BOAMP:21-7561,SIREN:794304097,Nantes Métropole,794304097,,SIREN_ENRICHED,IT Services & Consulting,2021-01-18,48.0,2025-01-18,0.0284727064347849,0.0498561618690986,Low,duration imputed,False,,2026-07-09
BOAMP:21-78563,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,IT Services & Consulting,2021-06-09,48.0,2025-06-09,0.0284727064347849,0.0498561618690986,Low,duration imputed,False,,2026-07-09
BOAMP:21-83160,SIREN:244900015,Angers Loire Métropole,244900015,,SIREN_ENRICHED,IT Services & Consulting,2021-06-25,48.0,2025-06-25,0.0284727064347849,0.0498561618690986,Low,duration imputed,False,,2026-07-09
BOAMP:19-181393,SIREN:228500013,Département de la Vendée,228500013,,SIREN_ENRICHED,IT Services & Consulting,2020-03-11,48.0,2024-03-11,0.0284626427485997,0.0498389279160302,Low,duration imputed,False,,2026-07-09
BOAMP:20-115620,SIREN:214401093,COMMUNE DE NANTES,214401093,,SIREN_ENRICHED,IT Services & Consulting,2020-09-22,48.0,2024-09-22,0.0284626427485997,0.0498389279160302,Low,duration imputed,False,,2026-07-09
BOAMP:20-115663,SIREN:794304097,Nantes Métropole,794304097,,SIREN_ENRICHED,IT Services & Consulting,2020-09-22,48.0,2024-09-22,0.0284626427485997,0.0498389279160302,Low,duration imputed,False,,2026-07-09
BOAMP:20-26328,SIREN:794304097,Nantes Métropole,794304097,,SIREN_ENRICHED,IT Services & Consulting,2020-09-28,48.0,2024-09-28,0.0284626427485997,0.0498389279160302,Low,duration imputed,False,,2026-07-09
BOAMP:20-31844,SIREN:130029747,Université de Nantes,130029747,,SIREN_ENRICHED,IT Services & Consulting,2020-06-03,48.0,2024-06-03,0.0284626427485997,0.0498389279160302,Low,duration imputed,False,,2026-07-09
BOAMP:20-50446,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,IT Services & Consulting,2020-11-04,48.0,2024-11-04,0.0284626427485997,0.0498389279160302,Low,duration imputed,True,,2026-07-09
BOAMP:20-91874,SIREN:317665420,DRAGAGES PORTS,317665420,,SIREN_ENRICHED,IT Services & Consulting,2020-07-17,48.0,2024-07-17,0.0284626427485997,0.0498389279160302,Low,duration imputed,False,,2026-07-09
BOAMP:19-104228,SIREN:214401622,Commune de Saint-Herblain,214401622,,SIREN_ENRICHED,IT Services & Consulting,2019-07-05,48.0,2023-07-05,0.0284525825152549,0.0498216996079047,Low,duration imputed,False,,2026-07-09
BOAMP:19-174809,SIREN:227200029,DEPARTEMENT DE LA SARTHE,227200029,,SIREN_ENRICHED,IT Services & Consulting,2019-11-20,48.0,2023-11-20,0.0284525825152549,0.0498216996079047,Low,duration imputed,False,,2026-07-09
BOAMP:19-35566,SIREN:244900015,Angers Loire Métropole,244900015,,SIREN_ENRICHED,IT Services & Consulting,2019-03-07,48.0,2023-03-07,0.0284525825152549,0.0498216996079047,Low,duration imputed,False,,2026-07-09
BOAMP:19-8964,SIREN:227200029,DEPARTEMENT DE LA SARTHE,227200029,,SIREN_ENRICHED,IT Services & Consulting,2019-01-17,48.0,2023-01-17,0.0284525825152549,0.0498216996079047,Low,duration imputed,False,,2026-07-09
BOAMP:19-95263,SIREN:217200955,ville de Coulaines,217200955,,SIREN_ENRICHED,IT Services & Consulting,2019-06-20,48.0,2023-06-20,0.0284525825152549,0.0498216996079047,Low,duration imputed,False,,2026-07-09
BOAMP:24-106616,NAME:saint nazaire agglomeration carene,Saint-Nazaire Agglomération -  la CARENE,,,NAME,Cybersecurity,2024-09-20,5.0,2025-02-20,0.0284476890302599,0.049813319340869,Low,model-estimated recurrence probability,False,name_fallback_buyer_key;missing_siren_siret;,2026-07-09
BOAMP:24-107102,NAME:saint nazaire agglomeration carene,Saint-Nazaire Agglomération -  la CARENE,,,NAME,Cybersecurity,2024-09-22,5.0,2025-02-22,0.0284476890302599,0.049813319340869,Low,model-estimated recurrence probability,False,name_fallback_buyer_key;missing_siren_siret;,2026-07-09
BOAMP:24-114124,NAME:saint nazaire agglomeration carene,Saint-Nazaire Agglomération -  la CARENE,,,NAME,Cybersecurity,2024-10-09,5.0,2025-03-09,0.0284476890302599,0.049813319340869,Low,model-estimated recurrence probability,False,name_fallback_buyer_key;missing_siren_siret;,2026-07-09
BOAMP:17-158731,SIREN:228500013,Département de la Vendée,228500013,,SIREN_ENRICHED,IT Services & Consulting,2018-02-27,48.0,2022-02-27,0.0284425257336397,0.0498044769430888,Low,duration imputed,False,,2026-07-09
BOAMP:18-12119,SIREN:234400034,Conseil régional des Pays de la Loire,234400034,,SIREN_ENRICHED,IT Services & Consulting,2018-04-27,48.0,2022-04-27,0.0284425257336397,0.0498044769430888,Low,duration imputed,False,,2026-07-09
BOAMP:18-121819,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,IT Services & Consulting,2018-08-30,48.0,2022-08-30,0.0284425257336397,0.0498044769430888,Low,duration imputed,False,,2026-07-09
BOAMP:18-123694,SIREN:227200029,DEPARTEMENT DE LA SARTHE,227200029,,SIREN_ENRICHED,IT Services & Consulting,2018-09-04,48.0,2022-09-04,0.0284425257336397,0.0498044769430888,Low,duration imputed,False,,2026-07-09
BOAMP:18-126368,SIREN:227200029,DEPARTEMENT DE LA SARTHE,227200029,,SIREN_ENRICHED,IT Services & Consulting,2018-11-12,48.0,2022-11-12,0.0284425257336397,0.0498044769430888,Low,duration imputed,False,,2026-07-09
BOAMP:18-127908,SIREN:227200029,DEPARTEMENT DE LA SARTHE,227200029,,SIREN_ENRICHED,IT Services & Consulting,2018-09-13,48.0,2022-09-13,0.0284425257336397,0.0498044769430888,Low,duration imputed,False,,2026-07-09
BOAMP:18-58630,SIREN:227200029,DEPARTEMENT DE LA SARTHE,227200029,,SIREN_ENRICHED,IT Services & Consulting,2018-07-02,48.0,2022-07-02,0.0284425257336397,0.0498044769430888,Low,duration imputed,False,,2026-07-09
BOAMP:18-76556,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,IT Services & Consulting,2018-06-06,48.0,2022-06-06,0.0284425257336397,0.0498044769430888,Low,duration imputed,False,,2026-07-09
BOAMP:17-102482,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,IT Services & Consulting,2017-07-18,48.0,2021-07-18,0.0284324724026431,0.04978725991995,Low,duration imputed,False,,2026-07-09
BOAMP:17-15684,SIREN:214401846,Commune de Saint-Nazaire,214401846,,SIREN_ENRICHED,IT Services & Consulting,2017-02-03,48.0,2021-02-03,0.0284324724026431,0.04978725991995,Low,duration imputed,False,,2026-07-09
BOAMP:17-20659,SIREN:288500010,SDIS 85,288500010,,SIREN_ENRICHED,IT Services & Consulting,2017-05-02,48.0,2021-05-02,0.0284324724026431,0.04978725991995,Low,duration imputed,True,,2026-07-09
BOAMP:17-40324,SIREN:247200132,Le Mans Métropole - Communauté Urbaine,247200132,,SIREN_ENRICHED,IT Services & Consulting,2017-07-10,48.0,2021-07-10,0.0284324724026431,0.04978725991995,Low,duration imputed,False,,2026-07-09
BOAMP:17-8714,SIREN:227200029,Département de la Sarthe,227200029,,SIREN_ENRICHED,IT Services & Consulting,2017-01-19,48.0,2021-01-19,0.0284324724026431,0.04978725991995,Low,duration imputed,False,,2026-07-09
BOAMP:17-93666,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,IT Services & Consulting,2017-07-03,48.0,2021-07-03,0.0284324724026431,0.04978725991995,Low,duration imputed,False,,2026-07-09
BOAMP:16-127032,SIREN:227200029,Département de la Sarthe,227200029,,SIREN_ENRICHED,IT Services & Consulting,2016-12-07,48.0,2020-12-07,0.0284224225211547,0.0497700485368557,Low,duration imputed,False,,2026-07-09
BOAMP:16-128900,SIREN:200033298,COMMUNAUTE de COMMUNES des COEVRONS,200033298,,SIREN_ENRICHED,IT Services & Consulting,2016-09-02,48.0,2020-09-02,0.0284224225211547,0.0497700485368557,Low,duration imputed,False,,2026-07-09
BOAMP:16-48232,SIREN:391722881,GIE SESAM Vitale,391722881,,SIREN_ENRICHED,IT Services & Consulting,2016-03-31,48.0,2020-03-31,0.0284224225211547,0.0497700485368557,Low,duration imputed,False,,2026-07-09
BOAMP:16-57562,SIREN:244900015,Angers Loire Métropole,244900015,,SIREN_ENRICHED,IT Services & Consulting,2016-04-25,48.0,2020-04-25,0.0284224225211547,0.0497700485368557,Low,duration imputed,False,,2026-07-09
BOAMP:16-61061,SIREN:227200029,Département de la Sarthe,227200029,,SIREN_ENRICHED,IT Services & Consulting,2016-04-29,48.0,2020-04-29,0.0284224225211547,0.0497700485368557,Low,duration imputed,False,,2026-07-09
BOAMP:16-72442,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,IT Services & Consulting,2016-11-16,48.0,2020-11-16,0.0284224225211547,0.0497700485368557,Low,duration imputed,False,,2026-07-09
BOAMP:16-73319,SIREN:214401846,Commune de Saint-Nazaire,214401846,,SIREN_ENRICHED,IT Services & Consulting,2016-09-09,48.0,2020-09-09,0.0284224225211547,0.0497700485368557,Low,duration imputed,False,,2026-07-09
BOAMP:16-74267,SIREN:214401093,Ville de Nantes,214401093,,SIREN_ENRICHED,IT Services & Consulting,2016-05-28,48.0,2020-05-28,0.0284224225211547,0.0497700485368557,Low,duration imputed,False,,2026-07-09
BOAMP:15-160688,SIREN:532458809,Ville d'Angers,532458809,,SIREN_ENRICHED,IT Services & Consulting,2015-10-20,48.0,2019-10-20,0.0284123760880645,0.0497528427921739,Low,duration imputed,False,,2026-07-09
BOAMP:15-164187,SIREN:391722881,GIE SESAM Vitale,391722881,,SIREN_ENRICHED,IT Services & Consulting,2015-10-28,48.0,2019-10-28,0.0284123760880645,0.0497528427921739,Low,duration imputed,False,,2026-07-09
BOAMP:15-174987,SIREN:244900015,Angers Loire Métropole,244900015,,SIREN_ENRICHED,IT Services & Consulting,2015-11-18,48.0,2019-11-18,0.0284123760880645,0.0497528427921739,Low,duration imputed,False,,2026-07-09
BOAMP:15-189271,SIREN:227200029,Département de la Sarthe,227200029,,SIREN_ENRICHED,IT Services & Consulting,2015-12-18,48.0,2019-12-18,0.0284123760880645,0.0497528427921739,Low,duration imputed,False,,2026-07-09
BOAMP:15-50314,SIREN:110006012,Ministère des Affaires étrangères,110006012,,SIREN_ENRICHED,IT Services & Consulting,2015-04-02,48.0,2019-04-02,0.0284123760880645,0.0497528427921739,Low,duration imputed,False,,2026-07-09
BOAMP:15-78916,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,IT Services & Consulting,2015-05-22,48.0,2019-05-22,0.0284123760880645,0.0497528427921739,Low,duration imputed,False,,2026-07-09
BOAMP:15-83632,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,IT Services & Consulting,2015-06-03,48.0,2019-06-03,0.0284123760880645,0.0497528427921739,Low,duration imputed,False,,2026-07-09
BOAMP:15-90549,SIREN:242900769,Concarneau Cornouaille Agglomération,242900769,,SIREN_ENRICHED,IT Services & Consulting,2015-06-15,48.0,2019-06-15,0.0284123760880645,0.0497528427921739,Low,duration imputed,False,,2026-07-09
BOAMP:15-92216,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,IT Services & Consulting,2015-06-16,48.0,2019-06-16,0.0284123760880645,0.0497528427921739,Low,duration imputed,False,,2026-07-09
BOAMP:15-96870,SIREN:244900015,Angers Loire Métropole,244900015,,SIREN_ENRICHED,IT Services & Consulting,2015-06-25,48.0,2019-06-25,0.0284123760880645,0.0497528427921739,Low,duration imputed,False,,2026-07-09
