contract_id,source,buyer_key,cpv_div2,category_label,start_date,declared_duration_months,event,observed_duration_months,censoring_duration_months,renewal_duration_months,renewal_contract_id,amount_clean,type_procedure,type_marche,dur_was_imputed,estimated_end_date,start_date_source,link_method,composite_score,text_similarity,cpv_match_score,cpv_used_in_score,temporal_score,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict
BOAMP:17-106453,BOAMP,SIREN:214401580,,Telecom & Networks,2017-07-24,48.0,1,47.01,,47.01,BOAMP:21-39936,,PROCEDURE_ADAPTE,,True,2021-07-24,publication_date,sentence_transformers,0.5823,0.258,,False,0.9175,0,0,0,0.5823,,,1,True,False
BOAMP:17-106009,BOAMP,NAME:nantes metropole,72.0,Cybersecurity,2017-11-26,48.0,1,50.95,,50.95,BOAMP:22-26998,,OUVERT,SERVICES,False,2021-11-26,attribution_award_date,sentence_transformers,0.7035,0.3817,1.0,True,0.7539,0,0,0,0.7035,0.6994,0.0040999999999999,31,False,False
BOAMP:17-106845,BOAMP,SIREN:214900201,45.0,Unknown,2017-07-28,14.0,1,19.94,,19.94,BOAMP:19-21081,820000.0,OUVERT,TRAVAUX,False,2018-09-27,publication_date,sentence_transformers,0.3539,0.2572,0.0,True,0.5049,0,0,0,0.3539,,,1,True,False
BOAMP:17-109941,BOAMP,SIREN:214401846,48.0,Software & Applications,2017-11-13,12.0,1,12.52,,12.52,BOAMP:18-122920,,PROCEDURE_ADAPTE,SERVICES,False,2018-11-13,attribution_award_date,sentence_transformers,0.5155,0.4352,0.0,True,0.957,0,0,0,0.5155,0.5094,0.0060999999999999,4,False,False
BOAMP:17-110921,BOAMP,SIREN:194401006,48.0,Software & Applications,2017-12-18,48.0,1,36.83,,36.83,BOAMP:21-4564,,OUVERT,FOURNITURES,False,2021-12-18,attribution_award_date,sentence_transformers,0.3362,0.3061,0.2,True,0.0689,0,0,0,0.3362,,,1,True,False
BOAMP:17-103068,BOAMP,SIREN:241700434,32.0,Telecom & Networks,2017-08-10,48.0,0,88.7,88.7,,,7300000.0,,SERVICES,True,2021-08-10,publication_date,none,,,,,,0,0,0,,,,0,False,False
BOAMP:17-115008,BOAMP,SIREN:281700252,,Data & AI,2017-08-10,12.0,0,88.7,88.7,,,34000.0,PROCEDURE_ADAPTE,,False,2018-08-10,publication_date,none,,,,,,0,0,0,,,,0,False,False
BOAMP:17-114118,BOAMP,SIREN:234400034,48.0,Software & Applications,2017-12-28,48.0,1,52.76,,52.76,BOAMP:22-72517,,OUVERT,SERVICES,True,2021-12-28,attribution_award_date,sentence_transformers,0.8704,0.8742,1.0,True,0.6034,0,0,0,0.8704,0.7492,0.1211999999999999,24,False,True
BOAMP:17-114694,BOAMP,NAME:hop intercommunal du baugeois et val,32.0,Telecom & Networks,2017-12-12,12.0,0,84.63,84.63,,,,OUVERT,FOURNITURES,False,2018-12-12,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False
BOAMP:17-111330,BOAMP,NAME:nantes metropole,72.0,Cybersecurity,2018-01-16,12.0,1,16.36,,16.36,BOAMP:19-36958,,OUVERT,SERVICES,False,2019-01-16,attribution_award_date,sentence_transformers,0.7464,0.5476,1.0,True,0.6367,0,0,0,0.7464,0.738,0.0083999999999999,17,False,False
BOAMP:17-115598,BOAMP,NAME:drac pays de la loire,92.0,Data & AI,2017-08-12,5.0,0,88.63,88.63,,,,OUVERT,SERVICES,False,2018-01-11,publication_date,none,,,,,,0,0,0,,,,0,False,False
BOAMP:17-117075,BOAMP,NAME:syndicat mixte pour le dvlpt numerique,72.0,IT Services & Consulting,2017-08-17,48.0,1,49.61,,49.61,BOAMP:21-133433,,PROCEDURE_ADAPTE,,True,2021-08-17,publication_date,sentence_transformers,0.9649,0.9791,1.0,True,0.8662,0,0,0,0.9649,,,1,True,False
BOAMP:17-117591,BOAMP,SIREN:217201540,45.0,Unknown,2017-08-18,48.0,0,88.44,88.44,,,,PROCEDURE_ADAPTE,,True,2021-08-18,publication_date,none,,,,,,0,0,0,,,,0,False,False
BOAMP:17-118765,BOAMP,SIREN:234400034,48.0,Software & Applications,2017-12-14,12.0,1,9.56,,9.56,BOAMP:18-87166,,PROCEDURE_ADAPTE,SERVICES,False,2018-12-14,attribution_award_date,sentence_transformers,0.5314,0.4303,0.2,True,0.7966,0,0,0,0.5314,0.5295,0.0019,14,False,False
BOAMP:17-119142,BOAMP,NAME:prefecture,72.0,IT Services & Consulting,2017-08-23,48.0,0,88.27,88.27,,,,PROCEDURE_ADAPTE,SERVICES,True,2021-08-23,publication_date,none,,,,,,0,0,0,,,,0,False,False
BOAMP:17-120212,BOAMP,SIREN:234400034,72.0,IT Services & Consulting,2017-12-15,12.0,1,7.13,,7.13,BOAMP:18-103319,,PROCEDURE_ADAPTE,SERVICES,False,2018-12-15,attribution_award_date,sentence_transformers,0.67,0.378,1.0,True,0.5941,0,0,0,0.67,0.5444,0.1256,20,False,False
BOAMP:17-115928,BOAMP,NAME:ademe,72.0,IT Services & Consulting,2018-04-24,48.0,0,80.26,80.26,,,,RESTREINT,SERVICES,False,2022-04-24,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False
BOAMP:17-120545,BOAMP,NAME:e collectivites vendee,72.0,IT Services & Consulting,2017-11-06,12.0,0,85.81,85.81,,,,OUVERT,SERVICES,False,2018-11-06,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False
