contract_id,source,buyer_key,cpv_div2,category_id,category_label,start_date,declared_duration_months,event,observed_duration_months,amount_clean,link_method,renewal_contract_id
DECP:482414216000442022CDB-14000000,DECP,SIRET:48241421600044,32,CAT04,Telecom & Networks,2022-06-28,1.0,0,30.12,16737.13,none,
DECP:214400475000152022jwpb0PzmRB00,DECP,SIRET:21440047500015,72,CAT02,IT Services & Consulting,2022-06-28,4.0,0,30.12,33128.0,none,
DECP:2672001600001320222022S1057600,DECP,SIRET:26720016000013,72,CAT02,IT Services & Consulting,2022-06-30,12.0,1,17.64,16392.0,decp_jaccard,DECP:2672001600001320232023S2589400
DECP:200072726000172022M22N12L0200,DECP,SIRET:20007272600017,32,CAT04,Telecom & Networks,2022-06-30,48.0,0,30.06,400000.0,none,
DECP:200072726000172022M22N12L0200,DECP,SIRET:20007272600017,32,CAT04,Telecom & Networks,2022-06-30,48.0,0,30.06,400000.0,none,
DECP:200072726000172022M22N12L0200,DECP,SIRET:20007272600017,32,CAT04,Telecom & Networks,2022-06-30,48.0,0,30.06,400000.0,none,
DECP:200072726000172022M22N12L0200,DECP,SIRET:20007272600017,32,CAT04,Telecom & Networks,2022-06-30,48.0,0,30.06,400000.0,none,
DECP:200072726000172022M22N12L200,DECP,SIRET:20007272600017,32,CAT04,Telecom & Networks,2022-06-30,48.0,0,30.06,400000.0,none,
DECP:21720058300011202204000,DECP,SIRET:21720058300011,72,CAT02,IT Services & Consulting,2022-06-30,48.0,0,30.06,227505.0,none,
DECP:244400404001292022F00022,DECP,SIRET:24440040400129,48,CAT01,Software & Applications,2022-07-01,48.0,0,30.03,,none,
DECP:234400034000262022F00061,DECP,SIRET:23440003400026,48,CAT01,Software & Applications,2022-07-04,48.0,0,29.93,,none,
DECP:225300011000152022012001,DECP,SIRET:22530001100015,72,CAT07,Digital Workplace & Collaboration,2022-07-05,48.0,0,29.89,1000000.0,none,
DECP:225300011000152022012000,DECP,SIRET:22530001100015,72,CAT07,Digital Workplace & Collaboration,2022-07-05,48.0,0,29.89,1000000.0,none,
DECP:244400404001292022S00113,DECP,SIRET:24440040400129,48,CAT01,Software & Applications,2022-07-05,48.0,0,29.89,,none,
DECP:257200535000172019BC5GTCANA00,DECP,SIRET:25720053500017,32,CAT04,Telecom & Networks,2022-07-05,12.0,0,29.89,400163.38,none,
DECP:25850022200033202222SV08101,DECP,SIRET:25850022200033,72,CAT02,IT Services & Consulting,2022-07-06,55.0,0,29.86,124000.0,none,
DECP:2444006440001320220103140000,DECP,SIRET:24440064400013,48,CAT01,Software & Applications,2022-07-06,48.0,0,29.86,100000.0,none,
DECP:284400017000182022Zz6EK8cY1-00,DECP,SIRET:28440001700018,72,CAT02,IT Services & Consulting,2022-07-06,48.0,0,29.86,140000.0,none,
DECP:24440055200026202287992301,DECP,SIRET:24440055200026,32,CAT04,Telecom & Networks,2022-07-06,48.0,0,29.86,108000.0,none,
DECP:21720067400042202302LOT00,DECP,SIRET:21720067400042,32,CAT04,Telecom & Networks,2022-07-06,3.0,0,29.86,80985.2,none,
DECP:218502227000182022005000000000,DECP,SIRET:21850222700018,32,CAT04,Telecom & Networks,2022-07-06,42.0,0,29.86,185000.0,none,
DECP:214900078000122022220340203,DECP,SIRET:21490007800012,35,CAT03,Cybersecurity,2022-07-07,48.0,0,29.83,72000.0,none,
DECP:214900078000122022220340202,DECP,SIRET:21490007800012,35,CAT03,Cybersecurity,2022-07-07,48.0,0,29.83,72000.0,none,
DECP:214900078000122022220340201,DECP,SIRET:21490007800012,35,CAT03,Cybersecurity,2022-07-07,48.0,0,29.83,72000.0,none,
DECP:234400034000262022S00081,DECP,SIRET:23440003400026,72,CAT07,Digital Workplace & Collaboration,2022-07-07,12.0,0,29.83,25000.0,none,
DECP:214400202000132022224400,DECP,SIRET:21440020200013,48,CAT05,Cloud & Infrastructure,2022-07-08,48.0,0,29.8,1040000.0,none,
