contract_id,source,buyer_key,cpv_div2,category_label,start_date,declared_duration_months,event,observed_duration_months,censoring_duration_months,renewal_duration_months,renewal_contract_id,amount_clean,type_procedure,type_marche,dur_was_imputed,estimated_end_date,start_date_source,link_method,composite_score,text_similarity,cpv_match_score,cpv_used_in_score,temporal_score,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict,rule_name,event_definition,is_censored
BOAMP:16-66951,BOAMP,SIREN:264900259,39.0,Data & AI,2016-05-12,3.0,0,103.65,103.65,,,,OUVERT,FOURNITURES,False,2016-08-11,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-67267,BOAMP,NAME:ademe,48.0,Software & Applications,2016-11-24,39.0,0,97.21,97.21,,,,PROCEDURE_ADAPTE,SERVICES,False,2020-02-24,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-68875,BOAMP,SIREN:264900390,48.0,Software & Applications,2016-05-12,48.0,0,103.65,103.65,,,,PROCEDURE_ADAPTE,,False,2020-05-12,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-69641,BOAMP,NAME:specialise de blain,48.0,Software & Applications,2016-05-13,48.0,0,103.61,103.61,,,100000.0,PROCEDURE_ADAPTE,SERVICES,True,2020-05-13,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-63298,BOAMP,SIREN:535164412,45.0,Telecom & Networks,2016-05-17,5.0,0,103.48,103.48,,,,PROCEDURE_ADAPTE,,False,2016-10-16,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-70203,BOAMP,SIREN:130029747,72.0,IT Services & Consulting,2016-07-07,37.0,0,101.81,101.81,,,,OUVERT,SERVICES,False,2019-08-07,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-72442,BOAMP,SIREN:264400136,72.0,IT Services & Consulting,2016-11-16,48.0,1,47.6,,47.6,BOAMP:20-50446,,NEGOCIE,SERVICES,True,2020-11-16,attribution_award_date,calibrated_rule,0.7338,0.8678,0.2,True,0.9333,0,0,0,0.7338,,,1,True,False,strict,calibrated_strict,0
BOAMP:16-73215,BOAMP,NAME:nantes metropole,72.0,IT Services & Consulting,2016-05-23,36.0,0,103.29,103.29,,,75000.0,OUVERT,SERVICES,False,2019-05-23,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-73358,BOAMP,NAME:ville du mans,32.0,Telecom & Networks,2016-07-05,48.0,0,101.87,101.87,,,,PROCEDURE_ADAPTE,,True,2020-07-05,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-73319,BOAMP,SIREN:214401846,72.0,IT Services & Consulting,2016-09-09,48.0,1,48.62,,48.62,BOAMP:20-70268,,PROCEDURE_ADAPTE,SERVICES,True,2020-09-09,attribution_award_date,calibrated_rule,0.8782,0.7471,1.0,True,0.8967,0,0,0,0.8782,,,1,True,False,strict,calibrated_strict,0
BOAMP:16-74130,BOAMP,SIREN:449073014,72.0,IT Services & Consulting,2016-07-26,48.0,0,101.18,101.18,,,210000.0,OUVERT,SERVICES,False,2020-07-26,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-74267,BOAMP,SIREN:214401093,72.0,IT Services & Consulting,2016-05-28,48.0,0,103.12,103.12,,,300000.0,NEGOCIE,SERVICES,True,2020-05-28,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-77563,BOAMP,SIREN:198513905,32.0,Telecom & Networks,2016-05-30,48.0,1,53.58,,53.58,BOAMP:20-140005,,PROCEDURE_ADAPTE,,True,2020-05-30,publication_date,calibrated_rule,0.7979,0.9597,1.0,True,0.07,0,0,0,0.7979,,,1,True,False,strict,calibrated_strict,0
BOAMP:16-78018,BOAMP,NAME:o p h le mans habitat,72.0,IT Services & Consulting,2016-05-30,72.0,0,103.06,103.06,,,700000.0,DIALOGUE_COMPETITIF,SERVICES,False,2022-05-30,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-81005,BOAMP,NAME:arafer,48.0,Software & Applications,2016-06-04,12.0,0,102.89,102.89,,,,OUVERT,SERVICES,False,2017-06-04,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-81774,BOAMP,SIREN:391722881,72.0,Digital Workplace & Collaboration,2016-06-05,48.0,0,102.86,102.86,,,,OUVERT,SERVICES,False,2020-06-05,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-79797,BOAMP,SIREN:214401846,50.0,Telecom & Networks,2016-06-06,12.0,0,102.83,102.83,,,,OUVERT,SERVICES,False,2017-06-06,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-83187,BOAMP,SIREN:532458809,32.0,Telecom & Networks,2016-06-07,48.0,0,102.79,102.79,,,,PROCEDURE_ADAPTE,SERVICES|FOURNITURES,True,2020-06-07,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-84309,BOAMP,SIREN:234400034,32.0,Telecom & Networks,2016-08-17,12.0,0,100.46,100.46,,,,PROCEDURE_ADAPTE,SERVICES,False,2017-08-17,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
