buyer_key,boamp_siret,boamp_name,source_b,decp_siret,decp_name,source_d
SIRET:18007003900557,,,,18007003900557,INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE L'ALIMENTATION ET L'ENVIRONNEMENT (INRAE PAYS-DE-LA-LOIRE NANTES),DECP
SIRET:18008928600041,,,,18008928600041,GROUPE D ETUDES ET DE CONTROLE DES VARIETES ET DES SEMENCES,DECP
SIRET:18440128900022,,,,18440128900022,CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PAYS DE LA LOIRE,DECP
SIRET:18440132100015,,,,18440132100015,CENTRE REGIONAL OEUVRES UNIV SCOLAIRES,DECP
SIRET:18440919100014,,,,18440919100014,GIP FORM CONTINUE INSERT PROF EXPERIENCE,DECP
SIRET:18850049000019,,,,18850049000019,CHAMBRE DE COMMERCE ET DE L'INDUSTRIE,DECP
SIRET:19440100600011,,,,19440100600011,ECOLE CENTRALE DE NANTES,DECP
SIRET:19440104800021,,,,19440104800021,ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE NANTES,DECP
SIRET:19440984300019,,,,19440984300019,UNIVERSITE DE NANTES,DECP
SIRET:19490970100303,,,,19490970100303,UNIVERSITE D'ANGERS,DECP
SIRET:20001492600030,,,,20001492600030,TERRITOIRE D ENERGIE LOIRE ATLANTIQUE (TE44),DECP
SIRET:20002377800018,,,,20002377800018,PAYS DE SAINT-GILLES-CROIX-DE-VIE AGGLOMERATION,DECP
SIRET:20003329800015,,,,20003329800015,COMMUNAUTE DE COMMUNES DES COEVRONS,DECP
SIRET:20004047500119,,,,20004047500119,LBN COMMUNAUTE,DECP
SIRET:20004248900019,20004248900019,Syndicat Départemental d'Energie et d'Equipement de la Vendée (85),BOAMP,20004248900019,SYNDICAT DEPARTEMENTAL D'ENERGIE ET D'EQUIPEMENT DE LA VENDEE,DECP
SIRET:20004311500019,20004311500019,Syndicat Mixte e-Collectivités Vendée,BOAMP,20004311500019,SM E-COLLECTIVITES,DECP
SIRET:20004855100010,,,,20004855100010,CC DU PAYS DE CRAON,DECP
SIRET:20005270200012,,,,20005270200012,COMMUNE DE BAUGE-EN-ANJOU (MAIRIE),DECP
SIRET:20005359300014,,,,20005359300014,COMMUNE DE CHEMILLE-EN-ANJOU (MAIRIE),DECP
SIRET:20005361900017,,,,20005361900017,COMMUNE DE BEAUPREAU-EN-MAUGES (MAIRIE),DECP
SIRET:20005430200019,,,,20005430200019,COMMUNE DE MONTREVAULT-SUR-EVRE (MAIRIE),DECP
SIRET:20005433600017,,,,20005433600017,COMMUNE DE MAUGES-SUR-LOIRE (MAIRIE),DECP
SIRET:20005438500014,,,,20005438500014,COMMUNE DE SEVREMOINE (MAIRIE),DECP
SIRET:20005481500010,,,,20005481500010,COMMUNE DE DIVATTE-SUR-LOIRE (MAIRIE),DECP
SIRET:20005582000019,,,,20005582000019,COMMUNE DE VAIR-SUR-LOIRE (MAIRIE),DECP
SIRET:20005588700018,,,,20005588700018,MAYENNE COMMUNAUTE,DECP
SIRET:20005743800018,,,,20005743800018,COMMUNE DE LOIRE-AUTHION (MAIRIE),DECP
SIRET:20005889900010,,,,20005889900010,COMMUNE DE BEAUFORT-EN-ANJOU (MAIRIE),DECP
SIRET:20005947500018,,,,20005947500018,COMMUNE DE LYS-HAUT-LAYON (MAIRIE),DECP
SIRET:20006001000010,,,,20006001000010,MAUGES COMMUNAUTE,DECP
SIRET:20006001000044,,,,20006001000044,MAUGES COMMUNAUTE (ORDURES MENAGERES),DECP
SIRET:20006001000085,,,,20006001000085,MAUGES COMMUNAUTE (ASSAINISSEMENT COLLECTIF),DECP
SIRET:20006542300010,,,,20006542300010,COMMUNE DE SEGRE-EN-ANJOU BLEU (MAIRIE),DECP
SIRET:20006763500017,,,,20006763500017,CA CLISSON SEVRE ET MAINE AGGLO,DECP
SIRET:20006763500132,,,,20006763500132,CA CLISSON SEVRE ET MAINE AGGLO,DECP
SIRET:20006786600018,,,,20006786600018,COMMUNAUTE DE COMMUNES SEVRE ET LOIRE,DECP
SIRET:20006786600059,,,,20006786600059,COMMUNAUTE DE COMMUNES SEVRE ET LOIRE (GESTION DES PISCINES),DECP
SIRET:20006895500018,,,,20006895500018,ANJOU LOIR ET SARTHE,DECP
SIRET:20006947400019,,,,20006947400019,COMMUNE DE OMBREE D'ANJOU (MAIRIE),DECP
SIRET:20007116500019,,,,20007116500019,CA LES SABLES D'OLONNE AGGLOMERATION,DECP
SIRET:20007116500118,,,,20007116500118,CA LES SABLES D'OLONNE AGGLOMERATION (PEPINIERE D'ENTREPRISES),DECP
SIRET:20007116500167,,,,20007116500167,CA LES SABLES D'OLONNE AGGLOMERATION,DECP
SIRET:20007154600010,,,,20007154600010,CC SUD RETZ ATLANTIQUE,DECP
SIRET:20007155300016,,,,20007155300016,CC LOIRE LAYON AUBANCE,DECP
SIRET:20007162900121,,,,20007162900121,CC CHALLANS-GOIS COMMUNAUTE,DECP
SIRET:20007167800011,,,,20007167800011,CA CHOLET AGGLOMERATION,DECP
SIRET:20007186800018,,,,20007186800018,CC DES VALLEES DU HAUT-ANJOU,DECP
SIRET:20007186800158,,,,20007186800158,CC DES VALLEES DU HAUT-ANJOU,DECP
SIRET:20007187600011,,,,20007187600011,CA SAUMUR VAL DE LOIRE,DECP
SIRET:20007190000019,,,,20007190000019,CC VENDEE GRAND LITTORAL,DECP
SIRET:20007190000308,,,,20007190000308,CC VENDEE GRAND LITTORAL,DECP
SIRET:20007191800011,,,,20007191800011,CC DU PAYS DE SAINT-FULGENT - LES ESSARTS,DECP
SIRET:20007225400010,,,,20007225400010,COMMUNE DE BAZOUGES CRE SUR LOIR (MAIRIE),DECP
SIRET:20007272600017,,,,20007272600017,COMMUNAUTE  DE COMMUNES CHATEAUBRIANT-DERVAL,DECP
SIRET:20007272600033,,,,20007272600033,COMMUNAUTE  DE COMMUNES CHATEAUBRIANT-DERVAL (ZONES D'ACTIVITES ECONOMIQUES),DECP
SIRET:20007288200018,,,,20007288200018,CC DE VIE ET BOULOGNE,DECP
SIRET:20007288200059,,,,20007288200059,CC DE VIE ET BOULOGNE (ORDURES MENAGERES),DECP
SIRET:20007326000016,,,,20007326000016,CC SUD VENDEE LITTORAL,DECP
SIRET:20007554700014,,,,20007554700014,COMMUNE DE GENNES-VAL-DE-LOIRE (MAIRIE),DECP
SIRET:20007740200010,,,,20007740200010,SYNDICAT D'EAU DE L'ANJOU,DECP
SIRET:20007740200036,,,,20007740200036,SYNDICAT D'EAU DE L'ANJOU,DECP
SIRET:20008213900011,,,,20008213900011,COMMUNE LES SABLES-D'OLONNE (MAIRIE),DECP
SIRET:20008247700015,,,,20008247700015,TERRITOIRE D'ENERGIE MAYENNE,DECP
SIRET:20008256800011,,,,20008256800011,COMMUNE DE CHERRE-AU (MAIRIE),DECP
SIRET:20008322800011,,,,20008322800011,COMMUNE DE ANCENIS-SAINT-GEREON (MAIRIE),DECP
SIRET:20008322800102,,,,20008322800102,COMMUNE DE ANCENIS-SAINT-GEREON (SPECTACLE ET EXPOSITION),DECP
SIRET:20008323600014,,,,20008323600014,CENTRE COMMUNAL D'ACTION SOCIALE,DECP
SIRET:20008339200015,,,,20008339200015,LAVAL AGGLOMERATION,DECP
SIRET:20008465500014,,,,20008465500014,COMMUNE DE CHATEAU-GONTIER-SUR-MAYENNE (MAIRIE),DECP
SIRET:20008469700016,,,,20008469700016,COMMUNE D'EVRON (MAIRIE),DECP
SIRET:20008976100015,,,,20008976100015,SI DE RESSOURCES INFORMATIQUES,DECP
SIRET:20008999300022,,,,20008999300022,SYNDICAT MIXTE D'ALIMENTATION EN EAU POTABLE (SMAEP) DE L'AUNAY - LA TOUCHE,DECP
SIRET:20009100700035,,,,20009100700035,SYNDICAT MIXTE DES PORTS DE PLAISANCE ET DE PECHE DE LOIRE-ATLANTIQUE (PORTS EN DSP),DECP
SIRET:20009665900012,,,,20009665900012,CENTRE INTERCOMMUNAL D ACTION SOCIALE LA ROCHE-SUR-YON AGGLOMERATION,DECP
SIRET:21440009500128,,,,21440009500128,COMMUNE DE BASSE-GOULAINE (MAIRIE),DECP
SIRET:21440014500055,,,,21440014500055,COMMUNE DU BIGNON (MAIRIE),DECP
SIRET:21440015200051,,,,21440015200051,COMMUNE DE BLAIN (MAIRIE),DECP
SIRET:21440020200013,,,,21440020200013,COMMUNE DE BOUGUENAIS (MAIRIE),DECP
SIRET:21440026900012,,,,21440026900012,COMMUNE DE CARQUEFOU (MAIRIE),DECP
SIRET:21440035000010,,,,21440035000010,COMMUNE DE LA CHAPELLE-SUR-ERDRE (MAIRIE),DECP
SIRET:21440036800012,,,,21440036800012,COMMUNE DE CHATEAUBRIANT (MAIRIE),DECP
SIRET:21440044200015,,,,21440044200015,COMMUNE DE CONQUEREUIL (MAIRIE),DECP
SIRET:21440045900019,,,,21440045900019,COMMUNE DE CORDEMAIS (MAIRIE),DECP
SIRET:21440047500015,,,,21440047500015,COMMUNE DE COUERON (MAIRIE),DECP
SIRET:21440049100129,,,,21440049100129,COMMUNE DU CROISIC (MAIRIE),DECP
