buyer_key,boamp_siret,boamp_name,source_b,decp_siret,decp_name,source_d
SIRET:21440205900114,,,,21440205900114,COMMUNE DES TOUCHES (MAIRIE),DECP
SIRET:21440212500071,,,,21440212500071,COMMUNE DE VALLET (MAIRIE),DECP
SIRET:21440215800015,,,,21440215800015,COMMUNE DE VERTOU (MAIRIE),DECP
SIRET:21440217400012,,,,21440217400012,COMMUNE DE VIGNEUX-DE-BRETAGNE (MAIRIE),DECP
SIRET:21490007800012,,,,21490007800012,COMMUNE D'ANGERS (MAIRIE),DECP
SIRET:21490015100017,,,,21490015100017,COMMUNE D'AVRILLE (MAIRIE),DECP
SIRET:21490099500017,,,,21490099500017,COMMUNE DE CHOLET (MAIRIE),DECP
SIRET:21490180300012,,,,21490180300012,COMMUNE DE LONGUE-JUMELLES (MAIRIE),DECP
SIRET:21490223100148,,,,21490223100148,COMMUNE DE MURS-ERIGNE (MAIRIE),DECP
SIRET:21490267800017,,,,21490267800017,COMMUNE DE SAINT-BARTHELEMY-D'ANJOU (MAIRIE),DECP
SIRET:21490328800014,,,,21490328800014,COMMUNE DE SAUMUR (MAIRIE),DECP
SIRET:21490353600016,,,,21490353600016,COMMUNE DE TRELAZE (MAIRIE),DECP
SIRET:21530130000012,,,,21530130000012,COMMUNE DE LAVAL (MAIRIE),DECP
