idweb,dateparution,datefindiffusion,datelimitereponse,nomacheteur,code_departement,famille,nature,nature_libelle,type_procedure,type_marche,type_avis,descripteur_libelle,objet,titulaire,annonce_lie,contractfolderid,etat,url_avis,donnees_format,cpv_principal,cpv_all,buyer_siret,buyer_cp,buyer_ville,amount_eur,duration_months,duration_source_field,date_attribution,date_publication_anterieure
22-13142,2022-01-27,2022-03-08,,Conseil régional des Pays de la Loire,44|49|53|72|85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),"Accord-cadre de relevé et modélisation BIM du patrimoine bâti propriété de la Région Pays de la Loire, pour la mutation du SIP* régional. *(Système d'Informations Patrimoniales)",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-13142,legacy,72242000,72242000,,44966,Nantes Cedex 9,,12.0,DUREE_MOIS,,
22-9627,2022-01-21,2022-02-25,,CH LE MANS,72,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Surveillance,"Fourniture d'équipements de vidéoprotection et de contrôle des accès, prestations associées et maintenance pour le GHT 72 - CHM, CH de Château du Loir, CH de la Ferté Bernard, CH du Lude, EPSM, P",BARBE DEVAUX,21-118586|21-132378,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-9627,legacy,35113300,35113300|32323500|50324100,,72037,Le mans cedex 09,231893.24,,,2022-01-14,2021-09-08
22-15926,2022-01-31,2022-04-01,,LA GARNACHE,85,FNS,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Maintenance|Surveillance,Fourniture et installation de systèmes de vidéosurveillance avec contrat de maintenance associé,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-15926,legacy,32323500,32323500,,85710,LA GARNACHE,,3.0,DUREE_MOIS,,
22-12455,2022-01-26,2022-04-23,,DEPARTEMENT DE LA SARTHE,72,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services),"Fourniture et maintenance des composants logiciels du système d'information décisionnel (Bo, 360 et Talend) pour les besoins du Département de la Sarthe",Decivision,21-138241,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-12455,legacy,72267100,72267100,,72072,Le Mans,220000.0,,,2022-01-21,2021-10-19
22-17628,2022-02-03,2022-03-08,,Cté de Cnes du Pays d'Ancenis,44,FNS,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Contrôle d'accès|Equipement de piscine|Logiciel,"Fourniture et installation d'un système informatisé de réservation, billetterie, contrôle d'accès et maintenance associée au Centre Aquatique Jean Blanchet à Ancenis-Saint-Géréon",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-17628,legacy,48000000,48000000,,44156,Ancenis-Saint-Géréon cedex,,,,,
22-12710,2022-01-27,2022-02-24,,CH LE MANS,72,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Télécommunications,"Fournitures, prestations de maintenance des infrastructures de communications unifiées et les services associés pour les établissements du GHT 72",,21-148700,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-12710,legacy,32500000,32500000|32000000,,72037,Le mans cedex 09,810708.0,,,2022-01-21,2021-11-12
22-18098,2022-02-03,2022-03-10,,Nantes Métropole,44,FNS,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Logiciel,Mise à disposition d'une plateforme dédiée au bénévolat pour les besoins de la ville de nantes,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-18098,legacy,48000000,48000000,,44041,Nantes Cedex 01,,,,,
22-12622,2022-01-30,2022-02-28,,SEMITAN,44,JOUE,ATTRIBUTION,Résultat de marché,NEGOCIE,SERVICES,|10|6,Audit|Informatique (prestations de services)|Prestations de services|Assistance à maîtrise d'ouvrage|Informatique (maintenance serveurs et réseaux),Accord-cadre de prestations pour la Direction des Systèmes d'Information (10 lots),ONEPOINT|SQLI|TALAN|SQLI|NIJI|NEO-SOFT SERVICES|ISIA|SIGMA INFORMATIQUE|INGEVA|ACIAL ATLANTIQUE|TALAN|CGI FRANCE|DECIVISION|SYD IM|Trsb Digiwin|Orange Cyberdefense|Orange Cyberdefense|ERNST &amp; YOUNG ADVISORY|TALAN,21-86348,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-12622,legacy,72000000,72000000|None,,44046,Nantes cedex 1,,,,2021-11-29,2021-06-28
22-12758,2022-02-03,2022-03-07,,Ville d'Angers,49,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Chaussures ou articles chaussants|Habillement|Matériel de sécurité,acquisition des tenues et équipements pour la sécurité et la prévention,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-12758,legacy,35811200,35811200|None|35000000,,49020,Angers Cedex 02,200000.0,12.0,DUREE_MOIS,,
22-13417,2022-02-03,2022-05-02,,CA PORNIC AGGLO PAYS DE RETZ,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Informatique (matériel)|Matériel de téléphonie,"Groupement de commande pour la fourniture de matériels informatiques, réseaux et téléphoniques - 2 lots (GC2021-01)",APS SOLUTIONS INFORMATIQUES,21-139944,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-13417,legacy,30200000,30200000|32250000,,,PORNIC cedex,1200000.0,,,2022-01-24,2021-10-29
22-16534,2022-02-03,2022-03-04,,Le Mans Métropole - Communauté Urbaine,72,JOUE,APPEL_OFFRE,Avis de marché,NEGOCIE,FOURNITURES,5|1|,Logiciel,"Fourniture, mise en oeuvre et maintenance d'une solution de Gestion de Temps d'Activités",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-16534,legacy,48450000,48450000|72267000,,72039,Le Mans,584000.0,60.0,DUREE_MOIS,,
22-18293,2022-02-06,2022-04-15,,CHU de Nantes,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Chaussures ou articles chaussants|Matériel de sécurité|Textile,Marché de fourniture d'équipements de protection individuelle (EPI),ACTUEL VET|DL DISTRIBUTION|LYRECO|LYRECO|INTERSON PROTAC,21-78638,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-18293,legacy,18143000,18143000|18830000|18800000|18141000|35113400,,44093,Nantes cedex,545746.0,,,2022-02-03,2021-06-14
22-17364,2022-02-04,2022-03-07,,SDIS 44,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Logiciel,"Fourniture de logiciels bureautiques, maintenance et prestations associées pour les besoins du SDIS 44.",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-17364,legacy,48000000,48000000,,44243,La chapelle sur erdre,,48.0,DUREE_MOIS,,
22-18409,2022-02-06,2022-05-04,,Département de Maine-et-Loire,49,JOUE,ATTRIBUTION,Résultat de marché,ATTRIBUE_SANS_PUB_JOUE,SERVICES,|10|6,Informatique (prestations de services)|Logiciel|Prestations de services|Informatique (assistance)|Informatique (maintenance serveurs et réseaux),"Exploitation d'un portail de télétransmission des prestations d'aide à domicile et prestations de maintenance, d'hébergement et d'assistance",SAS CITYZEN,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-18409,legacy,72000000,72000000,,49941,Angers,400000.0,,,2022-01-28,
22-15069,2022-02-06,2022-03-09,,Angers Loire Métropole,49,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Sonorisation,prestations de sonorisation et de mise en lumière pour les évènements de la ville d'angers et d'angers loire métropole,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-15069,legacy,32342410,32342410|None,,,Angers Cedex 02,800000.0,12.0,DUREE_MOIS,,
22-20106,2022-02-10,2022-04-11,,INRA ANGERS NANTES,44|49,JOUE,ATTRIBUTION,Résultat de marché,NEGOCIE,FOURNITURES,|10|6,Informatique (matériel),SALLES-REUNION-2021,DIGITALIS,21-68348,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-20106,legacy,32232000,32232000,,44300,Nantes,158750.96,,,2021-12-14,2021-05-25
22-19299,2022-02-09,2022-03-11,,Ville de Bouguenais,44,JOUE,APPEL_OFFRE,Avis de marché,NEGOCIE,FOURNITURES,5|1|,Informatique (matériel)|Informatique (prestations de services)|Informatique (maintenance serveurs et réseaux),Fourniture et prestations de refonte et de maintenance des infrastructures du système informatique de la Ville de Bouguenais.,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-19299,legacy,48800000,48800000|None,,44341,BOUGUENAIS CEDEX,1040000.0,24.0,DUREE_MOIS,,
22-24782,2022-02-17,2022-05-17,,SYDELA,44,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,,|10|6,Télécommunications,diagnostics des infrastructures de communication électroniques,IRH Ingénieur Conseil|IRH Ingénieur Conseil,21-161507,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-24782,legacy,32523000,32523000,,44700,Orvault,,,,2022-01-27,
22-19646,2022-02-09,2022-03-11,,Rectorat de l'Académie de Nantes,44|49,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Logiciel,Mise à disposition d'un ENT pour les écoles primaires,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-19646,legacy,72267000,72267000,,44326,NANTES,,,,,
22-25537,2022-02-20,2022-03-18,,SEMITAN,44,JOUE,ATTRIBUTION,Résultat de marché,NEGOCIE,SERVICES,|10|6,Informatique (prestations de services),Mise en place d'un ERP Finance,SYXPERIANE,21-88699,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-25537,legacy,72000000,72000000|None,,44046,Nantes cedex 1,,,,2022-02-16,2021-07-02
22-16811,2022-02-10,2022-03-11,,Département de Maine-et-Loire,49,JOUE,APPEL_OFFRE,Avis de marché,NEGOCIE,FOURNITURES,5|1|,Logiciel,"Acquisition, mise en oeuvre et maintenance d'un progiciel de gestion financière et comptable",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-16811,legacy,48440000,48440000|None,,49941,Angers cedex 09,,48.0,DUREE_MOIS,,
22-26063,2022-02-21,2022-05-19,,Le Mans Métropole - Communauté Urbaine,72,JOUE,ATTRIBUTION,Résultat de marché,ATTRIBUE_SANS_PUB_JOUE,SERVICES,|10|6,Informatique (matériel)|Logiciel,Rénovation du système Saeiv du réseau de transport en commun de Le Mans Métropole,Ineo Systrans,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:22-26063,legacy,72211000,72211000|48813000,,72039,Le Mans,5351010.0,,,2022-02-14,
23-2072,2023-01-07,2023-02-10,,Ville de Bouguenais,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),ACQUISITION DE LICENCES INFORMATIQUES ' MICROSOFT 365 et MPSA ' POUR LA VILLE DE BOUGUENAIS,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-2072,legacy,72212218,72212218|48000000,,44341,BOUGUENAIS CEDEX,540000.0,12.0,DUREE_MOIS,,
23-890,2023-01-05,2023-02-04,,SEMITAN,44,JOUE,ATTRIBUTION,Résultat de marché,NEGOCIE,FOURNITURES,|10|6,Informatique (matériel)|Informatique (prestations de services)|Informatique (assistance)|Informatique (maintenance serveurs et réseaux),"Renouvellements des infrastructures Serveurs, Stockage & Sauvegarde",ILIANE,22-115287,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-890,legacy,48822000,48822000|None,,44046,Nantes cedex 1,1597617.8,,,2022-12-21,2022-08-30
23-1325,2023-01-06,2023-01-21,,Conseil régional des Pays de la Loire,44|53|72|49|85,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Logiciel,RENOUVELLEMENT ET EXPLOITATION DU SYSTEME D'INFORMATION MULTIMODALE DESTINEO EN REGION DES PAYS DE LA LOIRE - LOT 3 : PRESTATIONS D'EXPLOITATION,,22-162091,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:23-1325,legacy,48000000,48000000,,44966,Nantes,,,,,
23-6460,2023-01-13,2023-02-20,2023-02-20T11:00:00+00:00,GPM de Nantes - St Nazaire,44,FNS,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Matériel de transmission,Fourniture de station de base AIS (Automatic Identification System),,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-6460,legacy,32230000,32230000,,44100,Nantes,,,,,
23-823,2023-01-05,2023-04-02,,COM D AGGLO REG NAZAIRIENNE ESTUAIRE,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Logiciel,"Fourniture, mise en oeuvre, maintenance d'un système intégré de gestion de bibliothèque, d'un portail documentaire web,d'un système de gestion des terminaux publics pour le réseau d",C3rb Informatique,22-94809,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-823,legacy,48160000,48160000,,44605,Saint-Nazaire,400000.0,,,2022-12-06,2022-07-11
23-2428,2023-01-07,2023-01-16,,DEPARTEMENT DE LA MAYENNE,53,JOUE,RECTIFICATIF,Rectificatif,,SERVICES,,Informatique (prestations de services),Déploiement d'une plateforme départementale de mise en relation des Mayennais en vue de développer des actions d'entraide bénévoles,,22-162095,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:23-2428,legacy,72268000,72268000,,53014,LAVAL,,,,,
23-6087,2023-01-13,2023-02-08,2023-02-08T11:30:00+00:00,VILLE DE LA ROCHE SUR YON,85|44,FNS,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Site internet,refonte et maintenance du site internet de la ville et de l'agglomération de la roche-sur-yon,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-6087,legacy,72413000,72413000,,85000,La Roche-sur-Yon,,48.0,DUREE_MOIS,,
23-969,2023-01-05,2023-01-13,,Commune de VALLONS-DE-L'ERDRE,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (matériel)|Informatique (prestations de services)|Informatique (maintenance serveurs et réseaux),Renouvellement du système informatique et téléphonique de la commune de VALLONS-DE-L'ERDRE (44),UNYC|SCIT|SCIT,22-102718,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-969,legacy,72500000,72500000|JA03|72315200|48822000|30200000,,44540,VALLONS-DE-L'ERDRE,234968.0,,,2022-11-28,2022-07-25
23-7514,2023-01-18,2023-01-27,,Département de la Vendée,85,JOUE,RECTIFICATIF,Rectificatif,,SERVICES,,Informatique (prestations de services)|Logiciel|Informatique (assistance),"Maintenance, fournitures et prestations associées aux outils Business Objects et Etl-Talend",,22-166698,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:23-7514,legacy,72267100,72267100,,85923,LA ROCHE SUR YON,,,,,
23-6398,2023-01-13,2023-02-03,2023-02-03T11:00:00+00:00,CHU de Nantes,44,FNS,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Télécommunications,FOURNITURE D'UN SERVICE DE CENTRE D'APPEL CLOUD POUR LE CENTRE D'ASSISTANCE UTILISATEURS DU CHU DE NANTES,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-6398,legacy,32546100,32546100,,,Nantes cedex,,60.0,DUREE_MOIS,,
23-2826,2023-01-08,2023-03-05,,DEPARTEMENT DE LA MAYENNE,53,JOUE,ATTRIBUTION,Résultat de marché,ATTRIBUE_SANS_PUB_JOUE,SERVICES,|10|6,Logiciel,"Acquisition d'abonnement de logiciels, maintenance et prestations associées des outils d'infrastructure - lot 16",SARL DECIVISION,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-2826,legacy,72268000,72268000|None,,53000,LAVAL CEDEX,240000.0,,,2022-12-09,
23-23201,2023-02-19,2023-04-20,,Angers Loire Métropole,49,JOUE,MODIFICATION,Modification,,SERVICES,,Alimentation en eau potable|Assainissement|Informatique (matériel)|Informatique (prestations de services)|Logiciel|Informatique (maintenance serveurs et réseaux),refonte du système de supervision de la direction de l'eau et de l'assainissement d'angers loire métropole,CALASYS,19-127477|20-62473|21-36541,,MODIFICATION,https://www.boamp.fr/pages/avis/?q=idweb:23-23201,legacy,72212900,72212900|KA11|None,,49000,Angers,1649316.68,96.0,DUREE_MOIS,2021-03-11,2021-03-23
23-5727,2023-01-14,2023-02-14,,CCI Pays de la Loire,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),Marché d'externalisation du service help desk informatique de la CCI Région Pays de la Loire,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-5727,legacy,72610000,72610000,,44100,Nantes,,48.0,DUREE_MOIS,,
23-2947,2023-01-08,2023-04-05,,DEPARTEMENT DE LA MAYENNE,53,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (matériel)|Informatique (prestations de services)|Logiciel,"Acquisition d'abonnement de logiciels, maintenance et prestations associées des outils d'infrastructure Lots 09, 11, 12, 21",Nomios|Apixit|Apixit,22-130851,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-2947,legacy,72268000,72268000|None,,53014,LAVAL,1960000.0,,,2023-01-02,2022-10-05
23-35823,2023-03-16,2023-05-10,,Nantes Métropole,44,FNS,RECTIFICATIF,Rectificatif,,SERVICES,,Etude|Informatique (prestations de services),prestations d'auit de sécurité des systèmes d'information (rectificatif),,23-34854,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:23-35823,legacy,72150000,72150000,,44923,Nantes cedex 9,,,,,
23-8217,2023-01-19,2023-03-03,,SDIS49,49|44|53|85|72,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Télécommunications,Renouvellement des installations de téléphonie administrative et mise en oeuvre d'une infrastructure Wifi,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-8217,legacy,32500000,32500000,,49071,Beaucouzé,1800000.0,60.0,DUREE_MOIS,,
23-5553,2023-01-14,2023-04-11,,Ville du Mans,72,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Logiciel,Maintenance et pérennisation du progiciel Appvision. Années 2023 à 2026,Barbe - Devaux Sas,22-137172|22-150274,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-5553,legacy,72267000,72267000,,72039,LE MANS,215000.0,,,2023-01-04,2022-10-18
23-34182,2023-03-16,2023-04-14,,SOC PUBLIQUE REG ABE DE FONTEVRAUD,49,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Matériel scénique,Fourniture De Materiel Technique Pour Le Parcours Nocturne Scenographie De L'Abbaye De Fontevraud,,23-31948,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:23-34182,legacy,32323300,32323300,,49590,FONTEVRAUD L'ABBAYE,,,,,
23-12403,2023-01-26,2023-02-24,2023-02-28T11:00:00+00:00,VENDEE EAU,85,FNS,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),Acquisition de matériels et d'un système d'information pour la relève des compteurs d'eau,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-12403,legacy,48000000,48000000,,85036,La Roche sur Yon,,48.0,DUREE_MOIS,,
23-6025,2023-01-14,2023-02-15,,ONIRIS,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Réseaux divers,2022-023 LAN-ONIRIS,NXO France,22-97433,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-6025,legacy,50312310,50312310|32420000,,44307,Nantes cedex 3,1680000.0,,,2023-01-02,2022-07-11
23-37438,2023-03-22,2023-03-30,,COM D AGGLO REG NAZAIRIENNE ESTUAIRE,44,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Logiciel|Matériel de transmission|Progiciel,Fourniture et déploiement d'un système de priorité radio aux carrefours à feux pour les bus du territoire de la Carene,,23-19634,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:23-37438,legacy,35262000,35262000,,44605,Saint-Nazaire,,,,,
23-12742,2023-01-28,2023-02-28,,UBS,56|44|75,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Equipements spécialisés|Logiciel,Acquisition de matériels dans le cadre du CPER Recherche 2021/2027 de l'UBS -vague 2-,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-12742,legacy,43135000,43135000|42997300|48331000,,56321,Lorient,15000.0,4.0,DUREE_MOIS,,
23-7917,2023-01-19,2023-04-16,,Université d'Angers,49,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Réseaux divers,Creation De Liaisons Ethernet Inter Campus Universitaires En Pays De La Loire,Melis@ Exploitation|Melis@ Exploitation|Sartel Thd|Societe Francaise Du Radiotelephone - Sfr|Celeste|Syndicat Mixte D'Etude Et De Developpement Des Sces Et Des Reseaux De Communications Electroniques Des Pays De La Loire,22-131126|22-133595,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-7917,legacy,32415000,32415000,,49035,ANGERS,818480.0,,,2023-01-16,2022-10-05
23-37783,2023-03-23,2023-06-21,,SDIS49,49,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Télécommunications,"Fourniture de postes radio tactiques, de pièces détachées, des équipements accessoires et services associés. Numéro de référence : 2023-02",,23-24753,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:23-37783,legacy,32230000,32230000,,49071,Beaucouzé,,,,,
23-12419,2023-01-28,2023-02-07,,Conseil régional des Pays de la Loire,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),Développement d'outils numériques grand public,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-12419,legacy,72212200,72212200,,44966,Nantes Cedex 9,,12.0,DUREE_MOIS,,
23-8022,2023-01-19,2023-03-17,,CHU de Nantes,44,JOUE,ATTRIBUTION,Résultat de marché,ATTRIBUE_SANS_PUB_JOUE,SERVICES,|10|6,Informatique (prestations de services),"Maintenance corrective, adaptative, règlementaire et évolutive du progiciel ICCA",PHILIPS FRANCE COMMERCIAL,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-8022,legacy,72267100,72267100,,44093,Nantes cedex,1000000.0,,,2022-12-27,
23-45263,2023-04-06,2023-06-04,,SDIS49,49,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Télécommunications,"Fourniture de postes radio tactiques, de pièces détachées, des équipements accessoires et services associés. Numéro de référence : 2023-02",,23-24753|23-37783,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:23-45263,legacy,32230000,32230000,,49071,Beaucouzé,,,,,
23-13321,2023-01-29,2023-02-26,,CC Océan Marais de Monts,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),PRESTATIONS INFORMATIQUES,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-13321,legacy,72220000,72220000,,85167,Saint Jean de Monts,,48.0,DUREE_MOIS,,
23-12301,2023-01-28,2023-04-25,,DEPARTEMENT DE LA MAYENNE,53,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Logiciel|Informatique (maintenance serveurs et réseaux),Acquisition et mise en oeuvre d'un Sigb mutualisé et de portails pour la Bibliothèque Départementale de la Mayenne et pour les réseaux de lecture publique des Epci mayennais,C3rb Informatique,22-114731|22-118198,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-12301,legacy,72212160,72212160,,53014,LAVAL,390000.0,,,2023-01-20,2022-08-26
23-14004,2023-02-01,2023-03-03,,COMMUNE DE SAINT NAZAIRE,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,"Matériel scénique|Sonorisation|Vidéo, cinéma","Acquisition, installation et maintenance de matériels scéniques pour l'auditorium du Conservatoire de Musique et de Danse (Crd) de la Ville de Saint-Nazaire",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-14004,legacy,32342410,32342410|None,,44600,Saint Nazaire,550000.0,48.0,DUREE_MOIS,,
23-12735,2023-01-28,2023-04-01,,La Cité des Congrès de Nantes,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Audiovisuel|Logiciel|Maintenance|Matériel électronique,"Accord-cadre pour la rénovation, la fourniture, l'installation et la maintenance des équipements audiovisuels des salles de sous commissions (B à N) de La Cité des Congrès de Nantes",MANGANELLI Technology,22-115191,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-12735,legacy,32321200,32321200|None,,44041,Nantes,318531.0,,,2023-01-10,2022-08-27
23-16483,2023-02-03,2023-03-07,2023-03-06T13:00:00+00:00,SPL EAU DU BASSIN RENNAIS,35|44|75|91|92|93|94|77|56,FNS,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),PRESTATION D'ASSISTANCE A LA SECURITE DES SYSTEMES D'INFORMATION,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-16483,legacy,72246000,72246000,,35000,RENNES CEDEX,,30.0,DUREE_MOIS,,
23-14196,2023-02-01,2023-04-29,,Le Mans Métropole - Communauté Urbaine,72,JOUE,ATTRIBUTION,Résultat de marché,NEGOCIE,FOURNITURES,|10|6,Logiciel,"Fourniture, mise en oeuvre et maintenance d'une solution de Gestion de Temps d'Activités",Horoquartz,22-16534,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-14196,legacy,48450000,48450000|72267000,,72039,Le Mans,532351.0,,,2023-01-19,2022-02-04
23-16355,2023-02-05,2023-03-15,,COM D AGGLO REG NAZAIRIENNE ESTUAIRE,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Logiciel|Matériel de transmission|Prestations de services,Renouvellement du Système d'Aide à l'Exploitation et à l'Information Voyageurs (Saeiv) du réseau Stran de la Carene,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-16355,legacy,48627000,48627000|48813200,,44605,Saint-Nazaire,,48.0,DUREE_MOIS,,
23-14564,2023-02-02,2023-03-02,,VENDEE,85,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Prestations de services,Hébergement infogéré de sites internet et d'applications,OXEVA,22-146330,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-14564,legacy,72500000,72500000|None,,85000,La Roche sur Yon,500000.0,,,2023-01-31,2022-10-31
23-13928,2023-02-09,2023-02-28,,Angers Loire Métropole,49,JOUE,APPEL_OFFRE,Avis de marché,RESTREINT,FOURNITURES,5|1|,Alimentation en eau potable|Assainissement|Réseaux divers|Voirie et réseaux divers,fourniture de pièces de réseaux et d'équipements connexes pour les travaux d'adduction d'eau potable et d'assainissement d'angers loire métropole,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-13928,legacy,39350000,39350000|42131000|44167100|42131146|42130000|44470000|38421100|44165100|44163000|14212000|34942000|38550000|44531400|None|44165300|44163210|39360000|44482200|35121500,,49020,Angers cedex 02,480000.0,96.0,DUREE_MOIS,,
23-16164,2023-02-04,2023-05-02,,Le Mans Métropole - Communauté Urbaine,72,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Equipements spécialisés|Logiciel,Acquisition et maintenance d'un système de guidage et de géolocalisation dans le cadre de la collecte des déchets pour 4 ans,Sysoco,22-116324,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:23-16164,legacy,48600000,48600000,,72039,Le Mans,200000.0,,,2023-02-01,2022-09-02
