idweb,dateparution,datefindiffusion,datelimitereponse,nomacheteur,code_departement,famille,nature,nature_libelle,type_procedure,type_marche,type_avis,descripteur_libelle,objet,titulaire,annonce_lie,contractfolderid,etat,url_avis,donnees_format,cpv_principal,cpv_all,buyer_siret,buyer_cp,buyer_ville,amount_eur,duration_months,duration_source_field,date_attribution,date_publication_anterieure
18-11615,2018-01-27,2018-02-19,,Communauté Communes La Chataigneraie,85|79,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Logiciel,fourniture et maintenance de logiciels métiers (rectificatif),,18-9170,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:18-11615,legacy,48000000,48000000,,85120,La Châtaigneraie,,,,,
18-6884,2018-01-16,2018-02-06,2018-02-06T15:00:00+00:00,CHU de Nantes,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Informatique (prestations de services),Fourniture d'un outil d'autodiagnostic managérial pour les besoins du GHT 44,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-6884,legacy,72000000,72000000,,44093,Nantes cedex,,12.0,DUREE_MOIS,,
18-1295,2018-01-07,2018-04-04,,GIE SESAM Vitale,72,JOUE,ATTRIBUTION,Résultat de marché,RESTREINT,SERVICES,|10|6,Assistance technique,Assistance Technique Etudes Fonctionnelles,WAVESTONE,17-53475,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-1295,legacy,72223000,72223000,,72019,Le mans cedex 2,400897.0,,,2018-01-02,
18-12852,2018-01-31,2018-02-09,,Nantes Métropole,44,JOUE,RECTIFICATIF,Rectificatif,,SERVICES,,Prestations de services,tierce maintenance applicative du système d'information ressources (s.i.r.h.) pour le compte de nantes métropole (rectificatif),,17-129614|18-5827,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:18-12852,legacy,72250000,72250000,,44923,Nantes cedex 9,,,,,
18-6138,2018-01-17,2018-02-15,,SDIS 44,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Logiciel,"Fourniture de logiciels bureautiques, maintenance et prestations associées pour les besoins du SDIS 44.",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-6138,legacy,48000000,48000000,,44243,La chapelle sur erdre,,48.0,DUREE_MOIS,,
18-1841,2018-01-10,2018-01-31,,Université d'Angers,49,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Audiovisuel,Solution de podcasting et de diffusion en direct sur les Campus de l'Université d'Angers,,17-102187|17-133406,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-1841,legacy,32330000,32330000,,49035,Angers cedex 01,,,,,
18-15423,2018-02-03,2018-02-21,,GCS eSanté Pays de la Loire,44,JOUE,RECTIFICATIF,Rectificatif,,SERVICES,,Informatique (prestations de services),Marché relatif à des développements d'applications mobiles en Santé interopérable avec la plateforme régionale de Système d'Information en Santé,,18-8615,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:18-15423,legacy,72200000,72200000,,44200,NANTES,,,,,
18-3854,2018-01-17,2018-02-18,,VILLE DE LA ROCHE SUR YON,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Equipement sportif|Sonorisation,Equipements pour une salle de basket-ball,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-3854,legacy,44212320,44212320|37482000|32342410,,85000,La Roche-sur-Yon,290000.0,3.0,DUREE_MOIS,,
18-3921,2018-01-11,2018-03-10,,Conseil régional des Pays de la Loire,44,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,SERVICES,|10|6,Assistance technique,Prestations d'assistance en administration de systèmes,AIS OUEST,17-140377,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-3921,legacy,72250000,72250000,,44966,Nantes cedex 9,190000.0,,,2017-12-14,
18-31069,2018-03-07,2018-05-20,,Université de Nantes,44,JOUE,RECTIFICATIF,Rectificatif,,SERVICES,,Informatique (assistance),A completer,,18-18602,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:18-31069,legacy,72224000,72224000,,44035,Nantes cedex 1,,,,,
18-8070,2018-01-18,2018-02-16,2018-02-16T13:00:00+00:00,Angers Loire Métropole,49,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Informatique (prestations de services)|Logiciel,Mise en place d'une application mobile pour la ville d'Angers,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-8070,legacy,72421000,72421000,,49020,ANGERS,,36.0,DUREE_MOIS,,
18-3938,2018-01-11,2018-03-15,,Conseil régional des Pays de la Loire,44,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,SERVICES,|10|6,Informatique (prestations de services),Fourniture d'une solution de gestion de données protocolaires,OPERATIONNELLE,17-118765,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-3938,legacy,48600000,48600000,,44966,Nantes cedex 9,140000.0,,,2017-12-14,
18-45496,2018-04-05,2018-05-04,,Angers Loire Métropole,49,JOUE,RECTIFICATIF,Rectificatif,,SERVICES,,Logiciel,ré-informatisation du réseau des bibliothèques municipales d'angers (rectificatif),,18-30024,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:18-45496,legacy,48160000,48160000,,49020,ANGERS,,,,,
18-8615,2018-01-20,2018-02-21,,GCS eSanté Pays de la Loire,44,JOUE,APPEL_OFFRE,Avis de marché,NEGOCIE,SERVICES,5|1|,Informatique (prestations de services),Marché relatif à des développements d'applications mobiles en Santé interopérable avec la plateforme régionale de Système d'Information en Santé,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-8615,legacy,72200000,72200000,,44200,NANTES,250000.0,,,,
18-4073,2018-01-13,2018-03-30,,Commune de La Baule,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Voirie et réseaux divers,"Maintenance et exploitation des infrastructures d'eaux pluviales, eaux usées et eaux brutes",SAUR,17-138140|17-149998,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-4073,legacy,32424000,32424000,,44504,LA BAULE CEDEX,1000000.0,,,2018-01-02,
18-49999,2018-04-14,2018-05-25,,Angers Loire Métropole,49,JOUE,RECTIFICATIF,Rectificatif,,SERVICES,,Logiciel,ré-informatisation du réseau des bibliothèques municipales d'angers (rectificatif),,18-30024|18-45496,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:18-49999,legacy,48160000,48160000,,49020,ANGERS,,,,,
18-8280,2018-01-20,2018-02-19,,LA ROCHE-SUR-YON AGGLOMERATION,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Informatique (matériel)|Informatique (maintenance serveurs et réseaux),Renouvellement des solutions de stockage informatique,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-8280,legacy,48822000,48822000,,85000,La Roche-sur-Yon,300000.0,48.0,DUREE_MOIS,,
18-5589,2018-01-17,2018-01-31,,Communauté de Communes du Perche,28|61|72|45|27|14|78|41,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,TRAVAUX,|10|6,"Ascenseur|Bardage|Bâtiment|Carburant, hydrocarbure|Carrelage|Chambre froide|Charpente|Chauffage (travaux)|Climatisation|Cloison, faux plafond|Couverture|Electricité (travaux)|Equipement hydraulique|Equipements spécialisés|Gros oeuvre|Isolation|Matériel de manutention|Menuiserie|Manutention|Peinture (travaux)|Réseaux divers|Revêtements de sols|Sanitaire|Serrurerie|Sécurité incendie|Ventilation|Amiante (désamiantage)",Réhabilitation des anciens abattoirs de Nogent le Rotrou pour y accueillir un atelier de découpe de viandes : attribution des marchés,VERGNAUD BATIMENT|GH|GH|FACE CEntre Loire|FACE CENTRE LOIRE|DEFI MAINE ANJOU|SMI|CHRARTRES MIROITERIE|BEZAULT|BEZAULT|LEDUC|SOL SOLUTION AGRO|COUEDIC MADORE EQUIPEMENT|SPIE|MISSENARD|Christian Ledru SARL|AXIMA|SNTTC,17-123584,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-5589,legacy,45000000,45000000|45223220|44142000|39511100|44316500|45262650|45241100|44111520|44220000|44112300|45421146|44810000|45431000|45430000|44423300|09310000|35110000|45331000|42512000|45213210|42416100|09134200|42996000|45262660,,28400,Nogent-le-Rotrou,3030643.0,,,2017-12-04,
18-8879,2018-01-21,2018-02-20,,GIE SESAM Vitale,72,JOUE,APPEL_OFFRE,Avis de marché,NEGOCIE,SERVICES,5|1|,Assistance technique,Assistance technique maintien en condition operationnelle,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-8879,legacy,72600000,72600000,,72019,Le mans cedex 2,,24.0,DUREE_MOIS,,
18-5823,2018-01-17,2018-02-15,,AUTORITE REGULATION ACTIVITES FERROVIA,75|72,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services)|Informatique (maintenance serveurs et réseaux),infogérance du système d'information de l'arafer,SARL XITHI,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-5823,legacy,72611000,72611000,,72019,Le Mans Cedex 02,260215.35,,,2017-07-22,2017-05-19
18-10415,2018-01-23,2018-03-01,2018-03-01T11:00:00+00:00,Université de Nantes,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,FOURNITURES,5|1|,Radiologie (matériel),Acquisition d'une enceinte blindée haute énergie pour le Centre d'Imagerie Multimodale Appliqué (CIMA) de l'Université de Nantes,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-10415,legacy,35113200,35113200,,44035,Nantes cedex 1,,30.0,DUREE_MOIS,,
18-7641,2018-01-18,2018-03-15,,Conseil régional des Pays de la Loire,44,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,SERVICES,|10|6,Informatique (prestations de services),Réalisation d'une application de signalement pour les usagers du TER,BOOKBEO,17-120212,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-7641,legacy,72000000,72000000,,44966,Nantes cedex 9,110000.0,,,2017-12-15,
18-9170,2018-01-24,2018-02-19,,Communauté Communes La Chataigneraie,85|79,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Logiciel,fourniture et maintenance de logiciels métiers,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-9170,legacy,48000000,48000000|None,,85120,La Châtaigneraie,221000.0,48.0,DUREE_MOIS,,
18-6506,2018-01-19,2018-04-17,,Conseil départemental de la Mayenne,53,JOUE,ATTRIBUTION,Résultat de marché,ATTRIBUE_SANS_PUB_JOUE,SERVICES,|10|6,Informatique (prestations de services),"maintenance, évolution et assistance des solutions logicielles de gestion de l'action sociale ""solis"", ""solatis""",Sas Info DB,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-6506,legacy,72267100,72267100,,53014,Laval cedex,620000.0,,,2017-12-20,
18-11225,2018-01-27,2018-02-26,,Nantes Métropole,44,JOUE,APPEL_OFFRE,Avis de marché,RESTREINT,SERVICES,5|1|,Informatique (prestations de services),tierce recette applicative sur des sites web et des applications mobiles,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-11225,legacy,72000000,72000000,,44000,nantes,,48.0,DUREE_MOIS,,
18-9704,2018-01-24,2018-03-22,,Conseil départemental Loire-Atlantique,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (maintenance serveurs et réseaux),"Fourniture, mise en oeuvre, maintenance et évolution d'une solution d'infrastructure pour le système d'information du Département",Société CIS VALLEY,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-9704,legacy,48822000,48822000,,44041,NANTES,2500000.0,,,2018-01-05,
