buyer_name_raw,buyer_name_clean,buyer_key,dept_code,city,postal_code,n_notices,n_appel_offre,has_existing_boamp_siret,existing_siret_values
SEMITAN,semitan,NAME:semitan,44,Nantes cedex 1,44046,38,23,True,443928874
Ville de La Rochelle,la rochelle,NAME:la rochelle,17,La Rochelle,17086,1,1,False,
Société Loire Atlantique Développement,societe loire atlantique developpement,NAME:societe loire atlantique developpement,44,Nantes Cedex 2,44262,2,1,False,
ANGERS NANTES OPERA syndicat mixte,angers nantes opera syndicat mixte,NAME:angers nantes opera syndicat mixte,44,NANTES CEDEX 1,44009,3,3,False,
Groupe d'étude et de contrôle des vari,groupe d etude et de controle des vari,NAME:groupe d etude et de controle des vari,49,Beaucouzé,49071,2,1,False,
COMMUNE DE CHEMILLE EN ANJOU,chemille en anjou,NAME:chemille en anjou,49,CHEMILLE-EN-ANJOU,49120,1,1,False,
DIR INTERREGIONALE SCES PENITENTIAIRES,dir interregionale sces penitentiaires,NAME:dir interregionale sces penitentiaires,35,Rennes cedex,35031,2,2,False,
Les Quinconces l'Espal,les quinconces l espal,NAME:les quinconces l espal,72,Le Mans,72000,1,1,False,
CESAME - CH de Sainte Gemmes sur Loire,cesame de sainte gemmes sur loire,NAME:cesame de sainte gemmes sur loire,49,les ponts de cé cedex,49137,1,1,False,
CROUS de Rennes,crous de rennes,NAME:crous de rennes,35,Rennes,35064,1,1,False,
Mairie de Saint Etienne de Montluc,saint etienne de montluc,NAME:saint etienne de montluc,44,Saint Etienne de Montluc,44360,4,3,False,
Ville de Beaucouzé,beaucouze,NAME:beaucouze,49,BEAUCOUZE,49071,4,2,False,
COMMUNAUTE D AGGLOMERATION LA ROCHELLE,communaute d agglomeration la rochelle,NAME:communaute d agglomeration la rochelle,17,la Rochelle,17086,3,1,False,
SDIS 17,17,NAME:17,17,PERIGNY Cedex,17187,1,1,False,
HOP INTERCOMMUNAL DU BAUGEOIS ET VAL,hop intercommunal du baugeois et val,NAME:hop intercommunal du baugeois et val,49,Baugé en anjou,49150,2,1,False,
DRAC Pays de la Loire,drac pays de la loire,NAME:drac pays de la loire,85,Nantes cédex 1,44035,1,1,False,
SYNDICAT MIXTE POUR LE DVLPT NUMERIQUE,syndicat mixte pour le dvlpt numerique,NAME:syndicat mixte pour le dvlpt numerique,72,Parigné-l'Evêque,72250,2,2,False,
Commune de La Flèche,la fleche,NAME:la fleche,72,LA FLECHE,72200,1,1,False,
Préfecture,prefecture,NAME:prefecture,44,Nantes,44035,1,1,False,
Communauté de Communes du Perche,communes du perche,NAME:communes du perche,28,Nogent-le-Rotrou,28400,2,1,False,
METROPOLE NANTES METROPOLE,metropole nantes metropole,NAME:metropole nantes metropole,44,Nantes cedex 9,44923,7,5,False,
INSERM,inserm,NAME:inserm,70,Paris,75654,1,1,False,
CMAR Pays de La Loire,cmar pays de la loire,NAME:cmar pays de la loire,44,Sainte Luce sur Loire Cedex,44985,5,3,False,
DSNA,dsna,NAME:dsna,31,Toulouse cedex 1,31035,2,1,False,
Ville de Pornichet,pornichet,NAME:pornichet,44,PORNICHET,44380,1,1,False,
Chambre de Commerce et d'Industrie,chambre de commerce et d industrie,NAME:chambre de commerce et d industrie,85,La roche sur yon,85000,1,1,False,
Commune de La Baule,la baule,NAME:la baule,44,LA BAULE CEDEX,44504,5,3,False,
Plate Forme Achats Finances Nord Est,plate forme achats finances nord est,NAME:plate forme achats finances nord est,57,Metz cedex 1,57044,3,1,False,
CC DU PAYS DE CHANTONNAY,cc du pays de chantonnay,NAME:cc du pays de chantonnay,85,Chantonnay,85111,1,1,False,
CTRE HOSP UNIVERSITAIRE ANGERS,ctre hosp universitaire angers,NAME:ctre hosp universitaire angers,49,Angers cédex 9,49933,29,20,False,
Institut Mines-Télécom Atlantique,institut mines telecom atlantique,NAME:institut mines telecom atlantique,44,Nantes cedex 3,44307,2,1,False,
MAYENNE TRES HAUT DEBIT,mayenne tres haut debit,NAME:mayenne tres haut debit,53,LAVAL,53000,1,0,False,
ONIRIS,oniris,NAME:oniris,44,Nantes cedex 3,44307,8,5,False,
DREAL BRETAGNE,dreal bretagne,NAME:dreal bretagne,35,Rennes cedex,35065,5,3,False,
Casier judiciaire national,casier judiciaire national,NAME:casier judiciaire national,44,NANTES Cedex 3,44317 ,2,2,True,12001002000028
ALTER Public,alter public,NAME:alter public,49,Angers,49101,1,1,False,
CA PORNIC AGGLO PAYS DE RETZ,ca pornic agglo pays de retz,NAME:ca pornic agglo pays de retz,44,PORNIC cedex,44215,5,3,False,
VILLE DE LA ROCHE SUR YON,la roche sur yon,NAME:la roche sur yon,85,La Roche-sur-Yon,85000,6,4,False,
