buyer_name_raw,buyer_name_clean,buyer_key,buyer_key_enriched,enriched_siren,enriched_siret,enriched_name,enrichment_score,enrichment_confidence,enrichment_source,enrichment_status,diagnostic,n_candidates,margin
Centre hospitalier de Laval,de laval,NAME:de laval,SIREN:265300236,265300236,26530023600014,CENTRE HOSPITALIER DE LAVAL,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=80.0",10,80.0
Office Public de l'Habitat,office public de l habitat,NAME:office public de l habitat,NAME:office public de l habitat,,,,63.3,LOW,api_recherche_entreprises,matched,score=63.3 (below MEDIUM threshold),1,
VILLE DE LA BAULE-ESCOUBLAC,la baule escoublac,NAME:la baule escoublac,SIREN:214400558,214400558,21440055800018,COMMUNE DE LA BAULE-ESCOUBLAC,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
ASSOCIATION E-TOILE,association e toile,NAME:association e toile,SIREN:445400104,445400104,44540010400011,E-TOILE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=10, margin=18.3",10,18.3
EHPAD RESIDENCES LES LIGERIENNES,ehpad residences les ligeriennes,NAME:ehpad residences les ligeriennes,SIREN:264900259,264900259,26490025900062,EHPAD RESIDENCES LES LIGERIENNES (EHPAD),98.3,HIGH,api_recherche_entreprises,matched,"score=98.3, n_cands=1, margin=N/A",1,
Centre Hospitalier Spécialisé de Blain,specialise de blain,NAME:specialise de blain,NAME:specialise de blain,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Loire Océan Métropole Aménagement,loire ocean metropole amenagement,NAME:loire ocean metropole amenagement,SIREN:535164412,535164412,53516441200020,LOIRE OCEAN METROPOLE AMENAGEMENT,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=2, margin=46.0",2,46.0
Loire Ocean developpement,loire ocean developpement,NAME:loire ocean developpement,SIREN:865800767,865800767,86580076700069,LOIRE OCEAN DEVELOPPEMENT,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=4, margin=5.8",4,5.8
Département de Maine-et-Loire,maine et loire,NAME:maine et loire,SIREN:224900019,224900019,22490001900015,DEPARTEMENT DE MAINE ET LOIRE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Nantes Métropole Habitat,nantes metropole habitat,NAME:nantes metropole habitat,NAME:nantes metropole habitat,,,,59.6,LOW,api_recherche_entreprises,matched,score=59.6 (below MEDIUM threshold),5,45.8
Syndicat Vendée des Iles,syndicat vendee des iles,NAME:syndicat vendee des iles,SIREN:449073014,449073014,44907301400028,VENDEE-ILES,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
LYCEE POLYVALENT LEONARD DE VINCI,lycee polyvalent leonard de vinci,NAME:lycee polyvalent leonard de vinci,SIREN:198513905,198513905,19851390500028,LYCEE POLYVALENT LEONARD DE VINCI,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
ARAFER,arafer,NAME:arafer,NAME:arafer,,,,23.8,NO_MATCH,api_recherche_entreprises,no_match,score=23.8 (below LOW threshold),1,
CROUS de Nantes,crous de nantes,NAME:crous de nantes,NAME:crous de nantes,,,,50.5,NO_MATCH,api_recherche_entreprises,no_match,score=50.5 (below LOW threshold),2,10.8
Com Communes du Pays d'Ancenis,com communes du pays d ancenis,NAME:com communes du pays d ancenis,NAME:com communes du pays d ancenis,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
SMIRGEOM Est Sarthe,smirgeom est sarthe,NAME:smirgeom est sarthe,NAME:smirgeom est sarthe,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
CAP ATLANTIQUE,cap atlantique,NAME:cap atlantique,NAME:cap atlantique,,,,41.3,NO_MATCH,api_recherche_entreprises,no_match,score=41.3 (below LOW threshold),10,-49.1
SDIS 49,49,NAME:49,SIREN:284900016,284900016,28490001600023,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=3, margin=38.0",3,38.0
Cté de Cnes de la Vallée de Clisson,cte de cnes de la vallee de clisson,NAME:cte de cnes de la vallee de clisson,NAME:cte de cnes de la vallee de clisson,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
C.S.T.B.,c s t b,NAME:c s t b,NAME:c s t b,,,,43.7,NO_MATCH,api_recherche_entreprises,no_match,score=43.7 (below LOW threshold),10,27.9
Ville de Noyal-Châtillon sur Seiche,noyal chatillon sur seiche,NAME:noyal chatillon sur seiche,SIREN:213503642,213503642,21350364200018,COMMUNE DE NOYAL CHATILLON SUR SEICHE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
CPAM de la Sarthe,cpam de la sarthe,NAME:cpam de la sarthe,NAME:cpam de la sarthe,,,,47.3,NO_MATCH,api_recherche_entreprises,no_match,score=47.3 (below LOW threshold),1,
SYND MIXTE DU PAYS DE COUTANCES,synd mixte du pays de coutances,NAME:synd mixte du pays de coutances,NAME:synd mixte du pays de coutances,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Rectorat de l'Académie de Dijon,rectorat de l academie de dijon,NAME:rectorat de l academie de dijon,SIREN:172104309,172104309,17210430900155,RECTORAT DE L'ACADEMIE DE DIJON,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=2, margin=22.3",2,22.3
C.H.D La Roche Sur Yon-Luçon-Montaigu,c h d la roche sur yon lucon montaigu,NAME:c h d la roche sur yon lucon montaigu,SIREN:268502424,268502424,26850242400016,CHD LA ROCHE SUR YON LUCON MONTAIGU,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Centre des monuments nationaux,centre des monuments nationaux,NAME:centre des monuments nationaux,SIREN:180046013,180046013,18004601300017,CENTRE DES MONUMENTS NATIONAUX (CMN),100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=2, margin=14.4",2,14.4
Université Européenne de Bretagne,universite europeenne de bretagne,NAME:universite europeenne de bretagne,NAME:universite europeenne de bretagne,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
CPAM de Loire-Atlantique,cpam de loire atlantique,NAME:cpam de loire atlantique,SIREN:515163749,515163749,51516374900010,CPAM DE LOIRE ATLANTIQUE (CPAM),97.4,HIGH,api_recherche_entreprises,matched,"score=97.4, n_cands=2, margin=27.6",2,27.6
COMMUNAUTE de COMMUNES des COEVRONS,communes des coevrons,NAME:communes des coevrons,SIREN:200033298,200033298,20003329800015,COMMUNAUTE DE COMMUNES DES COEVRONS,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=2, margin=61.3",2,61.3
INSEE,insee,NAME:insee,NAME:insee,,,,24.9,NO_MATCH,api_recherche_entreprises,no_match,score=24.9 (below LOW threshold),3,-6.4
