buyer_name_raw,buyer_name_clean,buyer_key,dept_code,query_used,entity_type_detected,nature_juridique_filter,candidate_rank,candidate_siren,candidate_siret,candidate_name,candidate_naf,candidate_nature_juridique,candidate_city,candidate_postal_code,name_similarity,dept_match,enrichment_score
Conseil Général de la Sarthe,conseil general de la sarthe,NAME:conseil general de la sarthe,72,departement la sarthe,DEPT,7220,1.0,227200029,22720002900014,DEPARTEMENT DE LA SARTHE,84.11Z,7220,LE MANS,72000,52.7,True,52.7
Ville du Croisic,ville du croisic,NAME:ville du croisic,44,ville croisic,DEFAULT,,1.0,451324974,45132497400018,VILLE DU CROISIC V,03.11Z,5499,LE CROISIC,44490,100.0,True,100.0
Ville du Croisic,ville du croisic,NAME:ville du croisic,44,ville croisic,DEFAULT,,2.0,100816313,10081631300017,LE TEMPS DES COPAINS DU CROISIC,94.99Z,9220,LE CROISIC,44490,56.9,True,56.9
Ville du Croisic,ville du croisic,NAME:ville du croisic,44,ville croisic,DEFAULT,,3.0,379086564,37908656400026,L'OCEARIUM DU CROISIC,91.04Z,5710,LE CROISIC,44490,66.1,True,66.1
Ville du Croisic,ville du croisic,NAME:ville du croisic,44,ville croisic,DEFAULT,,4.0,533302436,53330243600035,FESTIVAL DU FILM DU CROISIC DE LA PAGE A L'IMAGE,90.01Z,9220,LE CROISIC,44490,57.3,True,57.3
Ville du Croisic,ville du croisic,NAME:ville du croisic,44,ville croisic,DEFAULT,,5.0,214400491,21440049100129,COMMUNE DU CROISIC,84.11Z,7210,LE CROISIC,44490,54.0,True,54.0
Ville du Croisic,ville du croisic,NAME:ville du croisic,44,ville croisic,DEFAULT,,6.0,387949936,38794993600026,SCI C V H D,68.32B,6540,LE CROISIC,44490,45.5,True,45.5
Ville du Croisic,ville du croisic,NAME:ville du croisic,44,ville croisic,DEFAULT,,7.0,383979945,38397994500011,SCI DU 13 SAVINE,68.20A,6540,LE CROISIC,44490,30.8,True,30.8
Ville du Croisic,ville du croisic,NAME:ville du croisic,44,ville croisic,DEFAULT,,8.0,538794942,53879494200010,JEAN PIERRE MOURGUES,90.03A,1000,LE CROISIC,44490,30.3,True,30.3
Ville du Croisic,ville du croisic,NAME:ville du croisic,44,ville croisic,DEFAULT,,9.0,453569196,45356919600026,SCI CLAUDE ET XAVIER DALLE,68.20B,6540,LE CROISIC,44490,38.9,True,38.9
Ville du Croisic,ville du croisic,NAME:ville du croisic,44,ville croisic,DEFAULT,,10.0,752581397,75258139700011,CRISTIAN HIRTEA,86.23Z,1000,LE CROISIC,44490,57.1,True,57.1
Nantes Métropole,nantes metropole,NAME:nantes metropole,44,nantes metropole,DEFAULT,,1.0,244400404,24440040400129,METROPOLE NANTES METROPOLE,84.11Z,7344,NANTES,44000,84.2,True,84.2
