src_idweb,src_buyer_key,src_cpv,src_contract_start,src_duration_months,src_objet,cand_idweb,cand_contract_start,cand_cpv,cand_objet,gap_months,buyer_match_score,cpv_match_score,cpv_used_in_score,text_similarity_score,temporal_proximity_score,composite_score
20-28749,SIREN:214401093,32323500.0,2020-03-11,48.0,Fourniture de caméras piétons avec accessoires pour les agents de la Police Municipale et les agents de la Police Métropolitaine des Transports en Commun.,24-33685,2024-03-22,31500000.0,ACQUISITION DE MATÉRIELS POUR LES SALLES DE SPECTACLE,48.36,1.0,0.0,True,0.4134,0.9404,0.5035
20-28749,SIREN:214401093,32323500.0,2020-03-11,48.0,Fourniture de caméras piétons avec accessoires pour les agents de la Police Municipale et les agents de la Police Métropolitaine des Transports en Commun.,24-56228,2024-05-16,35811200.0,"Fourniture de vêtements et chaussures pour les agents de la Police Municipale, les agents de l?Unité Métropolitaine des Transports en Commun et de la Brigade de l?Espace Public",50.16,1.0,0.0,True,0.6404,0.6393,0.534
20-28749,SIREN:214401093,32323500.0,2020-03-11,48.0,Fourniture de caméras piétons avec accessoires pour les agents de la Police Municipale et les agents de la Police Métropolitaine des Transports en Commun.,24-62208,2024-05-30,72243000.0,Mission de programmation et d assistance à maîtrise d ouvrage pour la construction  d une unité centrale de production de repas et base logistique de transformation primaire de la Ville de Nantes,50.62,1.0,0.0,True,0.2553,0.5626,0.3646
21-129937,SIREN:214401093,72000000.0,2021-10-01,24.0,assistance au management de projets digitaux d'information et de relation au citoyen,23-48831,2023-04-12,32322000.0,"acquisition, installation et mise en service d'un ensemble d'équipements scénique et de vidéoprojection pour la salle de spectacle du centre socioculturel de bellevue",18.33,1.0,0.0,True,0.4052,0.0552,0.3231
21-129937,SIREN:214401093,72000000.0,2021-10-01,24.0,assistance au management de projets digitaux d'information et de relation au citoyen,23-31575,2023-09-11,72312000.0,rétro-conversion de fiches papier de livres imprimés du service patrimoine,23.32,1.0,0.2,True,0.2615,0.8874,0.4821
21-129937,SIREN:214401093,72000000.0,2021-10-01,24.0,assistance au management de projets digitaux d'information et de relation au citoyen,23-130386,2023-09-20,32540000.0,Prise en charge des appels téléphoniques pour discriminations,23.62,1.0,0.0,True,0.3375,0.9367,0.4723
21-129937,SIREN:214401093,72000000.0,2021-10-01,24.0,assistance au management de projets digitaux d'information et de relation au citoyen,24-33685,2024-03-22,31500000.0,ACQUISITION DE MATÉRIELS POUR LES SALLES DE SPECTACLE,29.66,1.0,0.0,True,0.263,0.0558,0.2664
21-152470,SIREN:214401093,32320000.0,2021-11-17,24.0,"location, installation et mise en service de matériels de projection, de son et de câblages pour les élections : présidentielles, législatives de 2022 et les élections européennes de 2024",23-31575,2023-09-11,72312000.0,rétro-conversion de fiches papier de livres imprimés du service patrimoine,21.78,1.0,0.0,True,0.2886,0.6301,0.3915
21-152470,SIREN:214401093,32320000.0,2021-11-17,24.0,"location, installation et mise en service de matériels de projection, de son et de câblages pour les élections : présidentielles, législatives de 2022 et les élections européennes de 2024",23-130386,2023-09-20,32540000.0,Prise en charge des appels téléphoniques pour discriminations,22.08,1.0,0.2,True,0.2577,0.6794,0.4389
21-152470,SIREN:214401093,32320000.0,2021-11-17,24.0,"location, installation et mise en service de matériels de projection, de son et de câblages pour les élections : présidentielles, législatives de 2022 et les élections européennes de 2024",24-33685,2024-03-22,31500000.0,ACQUISITION DE MATÉRIELS POUR LES SALLES DE SPECTACLE,28.12,1.0,0.0,True,0.3306,0.3132,0.3449
