contract_id,renewal_contract_id,event,composite_score,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict,text_similarity,cpv_match_score,temporal_score,declared_duration_months,observed_duration_months
BOAMP:17-129931,,0,,,,,0,False,False,,,,48.0,87.45
BOAMP:17-127198,,0,,,,,0,False,False,,,,12.0,84.4
BOAMP:17-130980,,0,,,,,0,False,False,,,,48.0,87.45
BOAMP:17-117419,,0,,,,,0,False,False,,,,48.0,84.59
BOAMP:17-133782,BOAMP:18-146310,1,0.4612,0.4612,,,1,True,False,0.3484,0.0,0.8592,12.0,12.84
BOAMP:17-135447,BOAMP:21-61224,1,0.4496,0.4496,0.363,0.08660000000000001,2,False,False,0.3597,,0.2164,48.0,43.3
BOAMP:17-134575,,0,,,,,0,False,False,,,,48.0,83.48
BOAMP:17-135932,,0,,,,,0,False,False,,,,48.0,87.09
BOAMP:17-136551,BOAMP:21-53955,1,0.3911,0.3911,,,1,True,False,0.2885,0.4,0.1288,48.0,42.77
BOAMP:17-130666,,0,,,,,0,False,False,,,,48.0,86.99
BOAMP:17-138140,,0,,,,,0,False,False,,,,12.0,86.89
BOAMP:17-140377,BOAMP:20-5957,1,0.5365,0.5365,0.5287,0.007800000000000029,6,False,False,0.4301,0.2,0.8224,24.0,25.07
BOAMP:17-141116,BOAMP:21-103746,1,0.5525,0.5525,,,1,True,False,0.3584,,0.6051,48.0,45.63
BOAMP:17-140760,,0,,,,,0,False,False,,,,12.0,86.76
BOAMP:17-140948,BOAMP:22-72517,1,0.7698,0.7698,0.6655,0.10430000000000006,12,False,True,0.8156,1.0,0.2177,48.0,52.69
BOAMP:17-142028,BOAMP:21-96695,1,0.4948,0.4948,0.415,0.07980000000000004,2,False,False,0.3666,0.0,0.9908,47.0,46.94
BOAMP:17-142035,BOAMP:22-72517,1,0.5426,0.5426,0.5099,0.03269999999999995,10,False,False,0.2586,1.0,0.1958,48.0,52.83
BOAMP:17-144102,,0,,,,,0,False,False,,,,48.0,82.95
BOAMP:17-143241,BOAMP:23-132830,1,0.6815,0.6815,0.6754,0.006099999999999994,15,False,False,0.4792,1.0,0.4492,60.0,63.3
BOAMP:17-148560,,0,,,,,0,False,False,,,,48.0,86.3
BOAMP:17-147216,,0,,,,,0,False,False,,,,54.0,86.27
BOAMP:17-152746,BOAMP:21-156783,1,0.4898,0.4898,,,1,True,False,0.3826,0.0,0.9336,48.0,47.6
BOAMP:17-155889,,0,,,,,0,False,False,,,,6.0,82.69
BOAMP:17-158731,BOAMP:22-105832,1,0.4477,0.4477,0.4367,0.01100000000000001,3,False,False,0.4072,0.4,0.1739,48.0,52.96
BOAMP:17-159373,BOAMP:22-87982,1,0.8063,0.8063,0.6278,0.1785,5,False,True,0.7372,1.0,0.5572,48.0,50.66
BOAMP:17-158224,BOAMP:22-69242,1,0.7115,0.7115,0.6374,0.07410000000000005,16,False,True,0.3332,1.0,0.8912,48.0,48.65
BOAMP:17-159853,BOAMP:20-66280,1,0.5926,0.5926,0.4122,0.1804,2,False,False,0.7212,0.4,0.2709,36.0,40.37
BOAMP:17-161917,BOAMP:18-149893,1,0.7903,0.7903,0.583,0.20730000000000004,6,False,True,0.5395,1.0,0.8725,12.0,11.24
BOAMP:17-161006,BOAMP:22-162609,1,0.5434,0.5434,0.5425,0.0009000000000000119,3,False,False,0.4076,0.2,0.9021,48.0,48.59
BOAMP:17-163707,BOAMP:19-169855,1,0.5959,0.5959,0.3272,0.2687,2,False,False,0.5186,0.2,0.9422,24.0,23.65
BOAMP:17-161606,,0,,,,,0,False,False,,,,48.0,85.25
BOAMP:17-165149,,0,,,,,0,False,False,,,,12.0,85.18
BOAMP:17-165815,BOAMP:22-44037,1,0.5293,0.5293,,,1,True,False,0.6457,0.0,0.6051,48.0,45.63
BOAMP:17-165817,BOAMP:22-44037,1,0.6907,0.6907,,,1,True,False,1.0,0.0,0.7037,48.0,46.22
BOAMP:17-166932,,0,,,,,0,False,False,,,,48.0,85.12
BOAMP:17-167643,BOAMP:19-81470,1,0.4266,0.4266,0.4258,0.0007999999999999674,6,False,False,0.3002,0.6,0.0324,12.0,17.81
BOAMP:17-167707,BOAMP:21-143183,1,0.8101,0.8101,0.7678,0.042300000000000004,18,False,False,0.6187,1.0,0.8132,48.0,46.88
BOAMP:17-168569,BOAMP:22-21573,1,0.8347,0.8347,0.5614,0.2733,13,False,True,0.7862,1.0,0.601,48.0,50.39
BOAMP:17-171316,BOAMP:21-126684,1,0.6037,0.6037,0.5371,0.06659999999999999,14,False,False,0.2038,1.0,0.6106,48.0,45.66
BOAMP:17-172862,,0,,,,,0,False,False,,,,72.0,84.76
BOAMP:17-173975,BOAMP:19-137030,1,0.7107,0.7107,0.5337,0.17700000000000005,8,False,True,0.5301,1.0,0.4932,24.0,20.96
BOAMP:17-174760,BOAMP:22-17364,1,0.4818,0.4818,0.4358,0.045999999999999985,2,False,False,0.3427,0.0,0.9733,48.0,48.16
BOAMP:17-173663,BOAMP:22-154717,1,0.7937,0.7937,0.7697,0.02399999999999991,22,False,False,0.5483,1.0,0.8719,60.0,59.23
BOAMP:17-176560,,0,,,,,0,False,False,,,,24.0,84.46
BOAMP:17-177418,BOAMP:22-5921,1,0.4098,0.4098,0.3802,0.029600000000000015,3,False,False,0.5516,0.0,0.1958,48.0,52.83
BOAMP:17-129614,BOAMP:22-26998,1,0.8085,0.8085,0.5983,0.21019999999999994,15,False,True,0.6989,1.0,0.6448,48.0,50.13
BOAMP:17-179962,BOAMP:18-95630,1,0.981,0.981,0.4131,0.5679,4,False,True,1.0,1.0,0.9049,6.0,6.57
