contract_id,buyer_key,cpv_div2,category_label,contract_start,declared_duration_months,dur_was_imputed,estimated_end_date,event,renewal_contract_id,observed_duration_months,composite_score,text_similarity,cpv_match_score,cpv_used_in_score,temporal_score,start_date_source,link_method,type_procedure,type_marche,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,amount_clean,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict
BOAMP:15-90876,SIREN:214401317,32.0,Telecom & Networks,2015-08-10,48.0,True,2019-08-10,0,,112.71,,,,,,publication_date,none,OUVERT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:15-124226,SIREN:227200029,64.0,Digital Workplace & Collaboration,2015-08-10,48.0,True,2019-08-10,1,BOAMP:19-71679,47.73,0.985,0.9847,1.0,True,0.9555,publication_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.985,0.5817,0.4033,6,False,True
BOAMP:15-133200,NAME:saelsi,32.0,Telecom & Networks,2015-08-31,6.0,False,2016-02-29,0,,112.02,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:15-134263,SIREN:940022890,32.0,Telecom & Networks,2015-09-02,48.0,False,2019-09-02,0,,111.96,,,,,,publication_date,none,OUVERT,,0,0,0,,,,,0,False,False
BOAMP:15-136371,SIREN:285300018,,Data & AI,2015-09-07,48.0,False,2019-09-07,0,,111.79,,,,,,publication_date,none,OUVERT,,0,0,0,,,,,0,False,False
BOAMP:15-139094,SIREN:288500010,35.0,Cybersecurity,2015-12-03,38.0,False,2019-02-01,0,,108.94,,,,,,attribution_award_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:15-141361,SIREN:234400034,72.0,IT Services & Consulting,2015-12-07,48.0,False,2019-12-07,1,BOAMP:19-174098,47.47,0.5589,0.4414,0.2,True,0.9117,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.5589,0.4697,0.08919999999999995,7,False,False
BOAMP:15-142353,NAME:ville du mans,32.0,Telecom & Networks,2016-01-21,48.0,True,2020-01-21,1,BOAMP:20-2441,53.25,0.7357,0.777,1.0,True,0.1246,attribution_award_date,sentence_transformers,OUVERT,,0,0,0,,0.7357,0.3501,0.3856,2,False,True
BOAMP:15-143083,SIREN:264900390,35.0,Cybersecurity,2015-09-18,48.0,False,2019-09-18,0,,111.43,,,,,,publication_date,none,PROCEDURE_ADAPTE,,0,0,0,,,,,0,False,False
BOAMP:15-144405,NAME:regie dept passages d eau de vendee,72.0,IT Services & Consulting,2015-09-22,48.0,True,2019-09-22,0,,111.3,,,,,,publication_date,none,PROCEDURE_ADAPTE,SERVICES,0,0,0,,,,,0,False,False
BOAMP:15-146024,SIREN:214401093,32.0,Telecom & Networks,2015-12-17,48.0,True,2019-12-17,1,BOAMP:20-28749,50.79,0.5011,0.36,0.4,True,0.5353,attribution_award_date,sentence_transformers,OUVERT,,0,0,0,,0.5011,0.393,0.10809999999999997,3,False,False
BOAMP:15-150393,SIREN:794885913,48.0,Software & Applications,2015-10-05,12.0,False,2016-10-04,0,,110.87,,,,,,publication_date,none,PROCEDURE_ADAPTE,SERVICES,0,0,0,,,,,0,False,False
BOAMP:15-153008,NAME:ville du mans,37.0,Data & AI,2016-04-12,48.0,True,2020-04-12,1,BOAMP:19-172734,46.91,0.8895,0.8144,1.0,True,0.8187,attribution_award_date,sentence_transformers,OUVERT,,0,0,0,,0.8895,0.4101,0.47939999999999994,3,False,True
