buyer_name_raw,buyer_name_normalized,buyer_siren_enriched,buyer_siret_enriched,buyer_enrichment_source,buyer_enrichment_confidence,buyer_enrichment_status,buyer_enrichment_score,buyer_enrichment_margin,buyer_enrichment_candidate_count,buyer_enrichment_name,buyer_enrichment_note
Université de La Rochelle,universite rochelle,191700327,19170032700015,previous_high_confidence_cache,HIGH,matched,100.0,27.6,2,LA ROCHELLE UNIVERSITE,seeded from existing high-confidence buyer enrichment
Université de Nantes,universite nantes,130029747,13002974700016,previous_high_confidence_cache,HIGH,matched,100.0,34.1,2,NANTES UNIVERSITE,seeded from existing high-confidence buyer enrichment
Université de Rennes 1,universite rennes 1,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,72.0,,1,UNIVERSITE RENNES  II  HAUTE BRETAGNE,query=universite rennes 1
Université du Maine,universite maine,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,74.7,9.5,10,CLUB D'ASTRONOMIE DE L'UNIVERSITE DU MAINE,query=universite maine
VALLET,vallet,439446386,43944638600013,api_recherche_entreprises_current,HIGH,matched,78.6,10.6,10,CLCA VALLET,query=vallet
VENDEE,vendee,451518641,45151864100043,previous_high_confidence_cache,HIGH,matched,100.0,32.0,10,VENDEE,seeded from existing high-confidence buyer enrichment
VENDEE EAU,vendee eau,258500222,25850022200033,previous_high_confidence_cache,HIGH,matched,100.0,50.3,10,VENDEE EAU,seeded from existing high-confidence buyer enrichment
VILLE DE BOUGUENAIS,ville bouguenais,214400202,21440020200013,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE BOUGUENAIS,seeded from existing high-confidence buyer enrichment
VILLE DE LA BAULE-ESCOUBLAC,ville baule escoublac,214400558,21440055800018,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE LA BAULE-ESCOUBLAC,seeded from existing high-confidence buyer enrichment
VILLE DE LA ROCHE SUR YON,ville roche yon,218501914,21850191400566,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE LA ROCHE-SUR-YON,seeded from existing high-confidence buyer enrichment
VILLE DE LAVAL,ville laval,215301300,21530130000012,previous_high_confidence_cache,HIGH,matched,100.0,17.7,3,COMMUNE DE LAVAL,seeded from existing high-confidence buyer enrichment
VILLE DE PORNICHET,ville pornichet,214401325,21440132500011,previous_high_confidence_cache,HIGH,matched,100.0,41.0,2,COMMUNE DE PORNICHET,seeded from existing high-confidence buyer enrichment
VILLE DE SAINT NAZAIRE,ville saint nazaire,214401846,21440184600016,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE SAINT-NAZAIRE,seeded from existing high-confidence buyer enrichment
Vendée Eau,vendee eau,258500222,25850022200033,previous_high_confidence_cache,HIGH,matched,100.0,50.3,10,VENDEE EAU,seeded from existing high-confidence buyer enrichment
Vendée Eau (85),vendee eau 85,258500222,25850022200033,previous_high_confidence_cache,HIGH,matched,92.3,,1,VENDEE EAU,seeded from existing high-confidence buyer enrichment
Vendée Expansion,vendee expansion,546650169,54665016900057,previous_high_confidence_cache,HIGH,matched,100.0,0.0,10,VENDEE EXPANSION - SEM,seeded from existing high-confidence buyer enrichment
Vendée Expansion - SEM,vendee expansion sem,546650169,54665016900057,previous_high_confidence_cache,HIGH,matched,100.0,0.0,7,VENDEE EXPANSION - SEM,seeded from existing high-confidence buyer enrichment
Vendée Grand Littoral,vendee grand littoral,200071900,20007190000308,previous_high_confidence_cache,HIGH,matched,100.0,8.0,4,CC VENDEE GRAND LITTORAL,seeded from existing high-confidence buyer enrichment
Vendée Habitat - OPH de Vendée,vendee habitat oph vendee,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,74.7,0.0,2,OFFICE PUBLIC DE L HABITAT DE VENDEE (OPH),query=vendee habitat oph vendee
Ville d'Alençon,ville alencon,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,74.0,5.5,10,SPL D'ALENCON,query=ville alencon
Ville d'Allonnes,ville allonnes,791052491,79105249100010,previous_high_confidence_cache,HIGH,matched,85.8,34.7,8,VILLE D ALLONNES RUNNING,seeded from existing high-confidence buyer enrichment
Ville d'Ancenis-Saint-Géréon,ville ancenis saint gereon,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,57.3,15.2,2,VELO TAF PAYS D'ANCENIS,query=ville ancenis saint gereon
Ville d'Angers,ville angers,532458809,53245880900029,previous_high_confidence_cache,HIGH,matched,88.0,24.2,10,VIGNE EN VILLE ANGERS,seeded from existing high-confidence buyer enrichment
Ville d'Angers Loire Metropole (49),ville angers loire metropole 49,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=ville angers loire metropole 49
Ville d'Arnage,ville arnage,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,73.6,23.6,10,GROUPE MALI ARNAGE,query=ville arnage
Ville d'Avrillé,ville avrille,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,68.7,4.1,10,CAISSE DES ECOLES D'AVRILLE,query=ville avrille
Ville d'Ecouflant,ville ecouflant,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=ville ecouflant
Ville d'Evron,ville evron,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,64.4,5.6,7,ENSEMBLE MUSICAL DE LA VILLE D'EVRON,query=ville evron
Ville d'Orvault,ville orvault,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,70.7,22.7,10,COEUR DE VILLE,query=ville orvault
Ville de Beaucouzé,ville beaucouze,214900201,21490020100069,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE BEAUCOUZE,seeded from existing high-confidence buyer enrichment
Ville de Bouguenais,ville bouguenais,214400202,21440020200013,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE BOUGUENAIS,seeded from existing high-confidence buyer enrichment
Ville de Carquefou,ville carquefou,214400269,21440026900012,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE CARQUEFOU,seeded from existing high-confidence buyer enrichment
Ville de Chemillé en Anjou,ville chemille anjou,200053593,20005359300014,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE CHEMILLE-EN-ANJOU,seeded from existing high-confidence buyer enrichment
Ville de Cholet,ville cholet,214900995,21490099500017,previous_high_confidence_cache,HIGH,matched,100.0,29.8,4,COMMUNE DE CHOLET,seeded from existing high-confidence buyer enrichment
